date,home,away,home_score,away_score
2025-09-13,ORL,BFC,1,1
2025-09-13,KC,WAS,0,0
2025-09-14,CHI,POR,1,1
2025-09-14,UTA,HOU,2,0
2025-09-14,RGN,LOU,1,0
2025-09-18,LA,WAS,2,2
2025-09-19,ORL,NC,0,1
2025-09-19,HOU,CHI,1,0
2025-09-19,UTA,LOU,3,2
2025-09-20,KC,RGN,2,0
2025-09-20,POR,SD,1,1
2025-09-21,BFC,NJY,1,1
2025-09-26,KC,CHI,4,1
2025-09-26,SD,ORL,1,2
2025-09-26,NJY,POR,3,0
2025-09-27,LOU,LA,1,0
2025-09-27,BFC,UTA,0,2
2025-09-28,WAS,HOU,4,0
2025-09-28,RGN,NC,2,1
2025-10-03,HOU,ORL,1,1
2025-10-04,NC,LOU,1,3
2025-10-04,POR,BFC,2,1
2025-10-05,WAS,SD,2,1
2025-10-05,CHI,UTA,2,2
2025-10-05,NJY,RGN,0,0
2025-10-06,LA,KC,0,1
2025-10-10,LOU,CHI,1,1
2025-10-10,RGN,BFC,1,1
2025-10-10,ORL,POR,1,0
2025-10-11,KC,NJY,2,0
2025-10-11,NC,WAS,1,1
2025-10-11,UTA,SD,2,3
2025-10-12,LA,HOU,2,0
2025-10-17,BFC,NC,1,4
2025-10-17,RGN,UTA,2,1
2025-10-18,WAS,ORL,2,3
2025-10-18,HOU,KC,1,0
2025-10-18,SD,CHI,6,1
2025-10-19,NJY,LOU,2,2
2025-10-19,LA,POR,0,2
2025-11-01,POR,HOU,,
2025-11-01,UTA,WAS,,
2025-11-01,CHI,LA,,
2025-11-01,KC,SD,,
2025-11-01,ORL,RGN,,
2025-11-01,NC,NJY,,
2025-11-01,LOU,BFC,,
