date,time,home,away
2024-06-22,19:30:00,HOU,SD
2024-06-22,22:00:00,BFC,LA
2024-06-23,12:30:00,NJNY,WAS
2024-06-23,16:00:00,POR,KCC
2024-06-23,18:00:00,RGN,LOU
2024-06-23,18:00:00,NC,CHI
2024-06-28,20:00:00,KCC,HOU
2024-06-28,22:00:00,SD,CHI
2024-06-29,16:00:00,LOU,BFC
2024-06-29,19:30:00,WAS,NC
2024-06-29,22:00:00,UTA,POR
2024-06-30,13:00:00,NJNY,RGN
2024-06-30,19:30:00,LA,ORL
2024-07-05,22:00:00,POR,SD
2024-07-06,13:00:00,CHI,HOU
2024-07-06,19:30:00,KCC,ORL
2024-07-06,22:00:00,BFC,WAS
2024-07-06,22:00:00,LA,NJNY
2024-07-07,16:30:00,NC,LOU
2024-07-07,18:00:00,RGN,UTA
2024-08-23,20:00:00,HOU,ORL
2024-08-23,21:30:00,UTA,BFC
2024-08-24,14:00:00,NJNY,POR
2024-08-24,16:00:00,SD,LA
2024-08-24,19:30:00,LOU,CHI
2024-08-25,12:00:00,WAS,KCC
2024-08-25,22:00:00,RGN,NC
2024-08-30,22:00:00,POR,BFC
2024-08-31,19:00:00,LOU,RGN
2024-08-31,21:30:00,HOU,UTA
2024-09-01,14:00:00,NC,KCC
2024-09-01,16:00:00,LA,CHI
2024-09-01,18:00:00,ORL,NJNY
2024-09-01,20:00:00,SD,WAS
2024-09-06,22:00:00,LA,RGN
2024-09-07,12:30:00,WAS,POR
2024-09-07,19:30:00,KCC,UTA
2024-09-07,22:00:00,BFC,LOU
2024-09-08,13:00:00,NJNY,HOU
2024-09-08,18:00:00,CHI,ORL
2024-09-08,20:00:00,SD,NC
2024-09-13,19:00:00,ORL,KCC
2024-09-13,20:00:00,NC,BFC
2024-09-13,22:00:00,POR,CHI
2024-09-14,19:30:00,LOU,LA
2024-09-14,22:00:00,UTA,SD
2024-09-15,13:00:00,WAS,HOU
2024-09-16,22:00:00,RGN,NJNY
2024-09-20,20:00:00,KCC,WAS
2024-09-20,22:30:00,BFC,ORL
2024-09-21,19:00:00,LOU,NC
2024-09-21,20:30:00,HOU,RGN
2024-09-21,21:30:00,CHI,SD
2024-09-22,13:00:00,NJNY,UTA
2024-09-23,22:00:00,LA,POR
2024-09-27,22:00:00,LA,WAS
2024-09-28,13:00:00,KCC,NJNY
2024-09-28,19:00:00,UTA,LOU
2024-09-28,19:30:00,ORL,HOU
2024-09-28,22:00:00,SD,POR
2024-09-29,18:00:00,RGN,BFC
2024-09-29,18:00:00,CHI,NC
2024-10-04,20:00:00,HOU,CHI
2024-10-04,22:00:00,RGN,LA
2024-10-05,19:00:00,NC,SD
2024-10-05,19:30:00,LOU,KCC
2024-10-05,19:30:00,NJNY,BFC
2024-10-05,22:00:00,POR,UTA
2024-10-06,17:00:00,ORL,WAS
2024-10-11,22:00:00,POR,ORL
2024-10-12,16:00:00,CHI,NJNY
2024-10-12,19:30:00,NC,LA
2024-10-12,22:00:00,BFC,KCC
2024-10-13,17:00:00,UTA,RGN
2024-10-13,17:00:00,WAS,LOU
2024-10-13,20:00:00,SD,HOU
2024-10-18,22:00:00,RGN,HOU
2024-10-19,13:00:00,KCC,SD
2024-10-19,19:30:00,LOU,POR
2024-10-19,22:00:00,BFC,NC
2024-10-20,17:00:00,NJNY,ORL
2024-10-20,17:00:00,WAS,CHI
2024-10-20,19:30:00,LA,UTA
2024-11-01,21:30:00,UTA,NJNY
2024-11-01,22:00:00,POR,LA
2024-11-02,17:00:00,ORL,RGN
2024-11-02,19:30:00,NC,WAS
2024-11-02,21:30:00,HOU,BFC
2024-11-03,15:00:00,CHI,KCC
2024-11-03,17:30:00,SD,LOU
