name,year,dob,minutes
Alana Cook,2023,1997-04-11,1575.0
Alana Cook,2024,1997-04-11,1700.0
Alanna Kennedy,2016,1995-01-21,1298.0
Alanna Kennedy,2017,1995-01-21,2101.0
Alanna Kennedy,2018,1995-01-21,1800.0
Alanna Kennedy,2019,1995-01-21,1349.0
Alex Arlitt,2016,1993-08-25,712.0
Alex Chidiac,2022,1999-01-15,959.0
Alex Chidiac,2023,1999-01-15,133.0
Alex Kerr,2024,2001-07-23,6.0
Alex Loera,2022,1999-06-19,3362.0
Alex Loera,2023,1999-06-19,1592.0
Alex Loera,2024,1999-06-19,592.0
Alex Morgan,2016,1989-07-02,1350.0
Alex Morgan,2017,1989-07-02,1058.0
Alex Morgan,2018,1989-07-02,1500.0
Alex Morgan,2019,1989-07-02,395.0
Alex Morgan,2021,1989-07-02,1109.0
Alex Morgan,2022,1989-07-02,1439.0
Alex Morgan,2023,1989-07-02,1539.0
Alex Morgan,2024,1989-07-02,846.0
Alex Pfeiffer,2024,2007-11-26,131.0
Alexa Newfield,2016,1991-12-03,236.0
Alexa Newfield,2017,1991-12-03,661.0
Alexa Newfield,2018,1991-12-03,20.0
Alexa Newfield,2019,1991-12-03,25.0
Alexa Spaanstra,2023,2000-02-01,529.0
Alexa Spaanstra,2024,2000-02-01,918.0
Ali Krieger,2016,1984-07-28,1267.0
Ali Krieger,2017,1984-07-28,2160.0
Ali Krieger,2018,1984-07-28,1675.0
Ali Krieger,2019,1984-07-28,1080.0
Ali Krieger,2021,1984-07-28,1968.0
Ali Krieger,2022,1984-07-28,1540.0
Ali Krieger,2023,1984-07-28,1334.0
Ali Riley,2021,1987-10-30,1556.0
Ali Riley,2022,1987-10-30,1590.0
Ali Riley,2023,1987-10-30,1245.0
Ali Riley,2024,1987-10-30,262.0
Aline Gomes Amaro,2024,2005-07-07,373.0
Alli Palisch,2018,1994-05-13,13.0
Allie Hess,2021,1996-07-19,7.0
Allie Long,2016,1987-08-13,1350.0
Allie Long,2017,1987-08-13,1599.0
Allie Long,2018,1987-08-13,1709.0
Allie Long,2019,1987-08-13,1223.0
Allie Long,2021,1987-08-13,2058.0
Allie Long,2023,1987-08-13,1256.0
Ally Haran,2021,1996-05-21,17.0
Ally Lemos,2024,2004-03-04,337.0
Ally Prisock,2019,1997-01-18,1323.0
Ally Prisock,2021,1997-01-18,384.0
Ally Prisock,2022,1997-01-18,1973.0
Ally Prisock,2023,1997-01-18,793.0
Ally Schlegel,2023,2000-02-07,372.0
Ally Schlegel,2024,2000-02-07,1295.0
Ally Sentnor,2024,2004-02-18,1866.0
Ally Watt,2021,1997-03-12,31.0
Ally Watt,2022,1997-03-12,616.0
Ally Watt,2023,1997-03-12,735.0
Ally Watt,2024,1997-03-12,883.0
Allysha Chapman,2016,1989-01-25,711.0
Allysha Chapman,2017,1989-01-25,1642.0
Allysha Chapman,2018,1989-01-25,1349.0
Allysha Chapman,2019,1989-01-25,1216.0
Allysha Chapman,2021,1989-01-25,1409.0
Allysha Chapman,2022,1989-01-25,1122.0
Allysha Chapman,2023,1989-01-25,989.0
Allysha Chapman,2024,1989-01-25,542.0
Allyson Swaby,2022,1996-10-03,21.0
Almuth Schult,2022,1991-02-09,90.0
Almuth Schult,2024,1991-02-09,810.0
Alyssa Kleiner,2016,1993-04-01,1111.0
Alyssa Kleiner,2017,1993-04-01,997.0
Alyssa Kleiner,2018,1993-04-01,414.0
Alyssa Malonson,2023,1999-04-09,54.0
Alyssa Malonson,2024,1999-04-09,1351.0
Alyssa Mautz,2016,1989-07-29,1037.0
Alyssa Mautz,2017,1989-07-29,1415.0
Alyssa Mautz,2018,1989-07-29,1715.0
Alyssa Mautz,2019,1989-07-29,216.0
Alyssa Mautz,2021,1989-07-29,316.0
Alyssa Mautz,2022,1989-07-29,195.0
Alyssa Naeher,2016,1988-04-20,1170.0
Alyssa Naeher,2017,1988-04-20,1980.0
Alyssa Naeher,2018,1988-04-20,1980.0
Alyssa Naeher,2019,1988-04-20,1260.0
Alyssa Naeher,2021,1988-04-20,720.0
Alyssa Naeher,2022,1988-04-20,1710.0
Alyssa Naeher,2023,1988-04-20,1800.0
Alyssa Naeher,2024,1988-04-20,2132.0
Alyssa Thompson,2023,2004-11-07,1156.0
Alyssa Thompson,2024,2004-11-07,2149.0
Amanda Allen,2023,2005-02-21,9.0
Amanda Allen,2024,2005-02-21,82.0
Amanda DaCosta,2016,1989-10-07,664.0
Amanda DaCosta,2017,1989-10-07,382.0
Amanda Dennis,2021,1998-05-25,90.0
Amanda Frisbie,2016,1992-05-29,270.0
Amanda Frisbie,2017,1992-05-29,751.0
Amanda Frisbie,2018,1992-05-29,1285.0
Amanda Kowalski,2022,1998-01-09,1168.0
Amanda Kowalski,2023,1998-01-09,52.0
Amanda West,2024,2001-02-11,727.0
Amandine Henry,2016,1989-09-28,638.0
Amandine Henry,2017,1989-09-28,1615.0
Amandine Henry,2023,1989-09-28,318.0
Amandine Henry,2024,1989-09-28,1102.0
Amandine Pierre-Louis,2018,1995-02-18,44.0
Amandine Pierre-Louis,2019,1995-02-18,168.0
Amber Brooks,2016,1991-01-23,1085.0
Amber Brooks,2017,1991-01-23,2160.0
Amber Brooks,2018,1991-01-23,2160.0
Amber Brooks,2019,1991-01-23,2160.0
Amber Brooks,2021,1991-01-23,321.0
Amber Brooks,2022,1991-01-23,1032.0
Amber Brooks,2023,1991-01-23,610.0
Amirah Ali,2022,1998-12-07,541.0
Amirah Ali,2023,1998-12-07,455.0
Amirah Ali,2024,1998-12-07,567.0
Amy Harrison,2019,1996-04-21,508.0
Amy Rodriguez,2017,1987-02-17,57.0
Amy Rodriguez,2018,1987-02-17,1301.0
Amy Rodriguez,2019,1987-02-17,2090.0
Amy Rodriguez,2021,1987-02-17,1709.0
Amy Turner,2021,1991-07-04,1104.0
Amy Turner,2022,1991-07-04,45.0
Ana Inês Costa Mendes Dias,2024,1997-10-02,233.0
Ana Tejada,2024,2002-06-02,1318.0
Ana-Maria Crnogorčević,2018,1990-10-03,1406.0
Ana-Maria Crnogorčević,2019,1990-10-03,761.0
Ana-Maria Crnogorčević,2024,1990-10-03,717.0
Andi Sullivan,2018,1995-12-20,1984.0
Andi Sullivan,2019,1995-12-20,2070.0
Andi Sullivan,2021,1995-12-20,1642.0
Andi Sullivan,2022,1995-12-20,752.0
Andi Sullivan,2023,1995-12-20,1706.0
Andi Sullivan,2024,1995-12-20,1717.0
Andi Tostanoski,2016,1994-08-29,136.0
Andrea Rán Hauksdóttir,2021,1996-01-28,9.0
Andressa,2023,1992-11-10,309.0
Andressa,2024,1992-11-10,1186.0
Andressinha,2016,1995-05-01,1297.0
Andressinha,2017,1995-05-01,1554.0
Andressinha,2018,1995-05-01,848.0
Andressinha,2019,1995-05-01,371.0
Angela Salem,2016,1988-07-24,1700.0
Angela Salem,2017,1988-07-24,2117.0
Angela Salem,2018,1988-07-24,163.0
Angela Salem,2019,1988-07-24,153.0
Angela Salem,2021,1988-07-24,1779.0
Angelina,2021,2000-01-26,474.0
Angelina,2022,2000-01-26,406.0
Angelina,2023,2000-01-26,33.0
Angelina,2024,2000-01-26,1487.0
Angelina Anderson,2023,2001-03-22,360.0
Angelina Anderson,2024,2001-03-22,270.0
Angharad James,2021,1994-06-01,812.0
Angharad James,2022,1994-06-01,354.0
Angharad James-Turner,2024,1994-06-01,895.0
Ann-Katrin Berger,2024,1990-10-09,1980.0
Anna Heilferty,2021,1999-04-17,815.0
Anna Heilferty,2022,1999-04-17,1486.0
Anna Heilferty,2024,1999-04-17,70.0
Anna Moorhouse,2022,1995-03-30,180.0
Anna Moorhouse,2023,1995-03-30,1623.0
Anna Moorhouse,2024,1995-03-30,2340.0
Annaïg Butel,2023,1992-02-15,463.0
Annaïg Butel,2024,1992-02-15,1904.0
Ari Romero,2019,1992-07-29,762.0
Ariana Calderón,2019,1990-05-12,130.0
Arielle Ship,2017,1995-05-02,688.0
Arielle Ship,2018,1995-05-02,41.0
Arielle Ship,2019,1995-05-02,322.0
Arin Wright,2016,1992-12-25,1718.0
Arin Wright,2017,1992-12-25,1765.0
Arin Wright,2018,1992-12-25,2040.0
Arin Wright,2019,1992-12-25,1505.0
Arin Wright,2021,1992-12-25,1568.0
Arin Wright,2022,1992-12-25,603.0
Arin Wright,2023,1992-12-25,1588.0
Arin Wright,2024,1992-12-25,1810.0
Ary Borges,2023,1999-12-28,1459.0
Ary Borges,2024,1999-12-28,826.0
Ashleigh Sykes,2017,1991-12-15,994.0
Ashley Hatch,2017,1995-05-25,1201.0
Ashley Hatch,2018,1995-05-25,1927.0
Ashley Hatch,2019,1995-05-25,2096.0
Ashley Hatch,2021,1995-05-25,1565.0
Ashley Hatch,2022,1995-05-25,1472.0
Ashley Hatch,2023,1995-05-25,1838.0
Ashley Hatch,2024,1995-05-25,1407.0
Ashley Herndon,2017,1994-08-09,6.0
Ashley Nick,2016,1987-10-27,103.0
Ashley Sanchez,2021,1999-03-16,1825.0
Ashley Sanchez,2022,1999-03-16,1483.0
Ashley Sanchez,2023,1999-03-16,1603.0
Ashley Sanchez,2024,1999-03-16,2154.0
Ashlyn Harris,2016,1985-10-19,1350.0
Ashlyn Harris,2017,1985-10-19,1106.0
Ashlyn Harris,2018,1985-10-19,1890.0
Ashlyn Harris,2019,1985-10-19,1170.0
Ashlyn Harris,2021,1985-10-19,1687.0
Ashlyn Harris,2022,1985-10-19,720.0
Asisat Oshoala,2024,1994-10-09,1874.0
Aubrey Kingsbury,2016,1991-11-20,90.0
Aubrey Kingsbury,2017,1991-11-20,990.0
Aubrey Kingsbury,2018,1991-11-20,1890.0
Aubrey Kingsbury,2019,1991-11-20,2149.0
Aubrey Kingsbury,2021,1991-11-20,1980.0
Aubrey Kingsbury,2022,1991-11-20,1710.0
Aubrey Kingsbury,2023,1991-11-20,1799.0
Aubrey Kingsbury,2024,1991-11-20,2339.0
Audrey Harding,2022,1998-07-14,324.0
Ava Cook,2022,1998-10-03,945.0
Ava Cook,2023,1998-10-03,961.0
Ava Cook,2024,1998-10-03,95.0
Averie Collins,2022,1997-03-03,16.0
Avery Patterson,2024,2002-06-14,2073.0
Barbra Banda,2024,2000-03-20,1743.0
Bayley Feist,2019,1997-03-14,470.0
Bayley Feist,2022,1997-03-14,1227.0
Bayley Feist,2023,1997-03-14,176.0
Bayley Feist,2024,1997-03-14,565.0
Becky Edwards,2016,1988-05-22,806.0
Becky Sauerbrunn,2016,1985-06-06,1260.0
Becky Sauerbrunn,2017,1985-06-06,1980.0
Becky Sauerbrunn,2018,1985-06-06,1720.0
Becky Sauerbrunn,2019,1985-06-06,1260.0
Becky Sauerbrunn,2021,1985-06-06,1326.0
Becky Sauerbrunn,2022,1985-06-06,1324.0
Becky Sauerbrunn,2023,1985-06-06,566.0
Becky Sauerbrunn,2024,1985-06-06,2146.0
Bella Bixby,2021,1995-11-20,1440.0
Bella Bixby,2022,1995-11-20,1800.0
Bella Bixby,2023,1995-11-20,1890.0
Belle Briede,2022,1998-10-03,1151.0
Belle Briede,2023,1998-10-03,253.0
Belle Briede,2024,1998-10-03,359.0
Bethany Balcer,2019,1997-03-07,1700.0
Bethany Balcer,2021,1997-03-07,1185.0
Bethany Balcer,2022,1997-03-07,1362.0
Bethany Balcer,2023,1997-03-07,1415.0
Bethany Balcer,2024,1997-03-07,1808.0
Beverly Yanez,2016,1988-07-19,1633.0
Beverly Yanez,2017,1988-07-19,1341.0
Beverly Yanez,2018,1988-07-19,1165.0
Beverly Yanez,2019,1988-07-19,1746.0
Bia Zaneratto,2024,1993-12-17,868.0
Bianca Henninger,2016,1990-10-22,450.0
Bianca St-Georges,2021,1997-07-28,159.0
Bianca St-Georges,2022,1997-07-28,982.0
Bianca St-Georges,2023,1997-07-28,1574.0
Bianca St-Georges,2024,1997-07-28,766.0
Brecken Mozingo,2024,2001-03-08,979.0
Bri Visalli,2021,1995-04-17,733.0
Bri Visalli,2022,1995-04-17,460.0
Brianna Martínez,2023,2000-04-22,49.0
Brianna Martínez,2024,2000-04-22,696.0
Brianna Pinto,2021,2000-05-24,195.0
Brianna Pinto,2022,2000-05-24,1453.0
Brianna Pinto,2023,2000-05-24,370.0
Brianna Pinto,2024,2000-05-24,764.0
Brianne Reed,2016,1994-05-02,441.0
Bridget Callahan,2018,1996-04-16,1.0
Bridget Callahan,2019,1996-04-16,496.0
Britt Eckerstrom,2016,1993-05-28,270.0
Britt Eckerstrom,2018,1993-05-28,900.0
Britt Eckerstrom,2019,1993-05-28,900.0
Brittany Kolmel,2016,1987-09-18,1800.0
Brittany Kolmel,2017,1987-09-18,1980.0
Brittany Ratcliffe,2016,1994-02-07,546.0
Brittany Ratcliffe,2017,1994-02-07,1107.0
Brittany Ratcliffe,2018,1994-02-07,366.0
Brittany Ratcliffe,2021,1994-02-07,253.0
Brittany Ratcliffe,2022,1994-02-07,331.0
Brittany Ratcliffe,2023,1994-02-07,367.0
Brittany Ratcliffe,2024,1994-02-07,496.0
Brooke Elby,2016,1993-05-24,917.0
Brooke Elby,2017,1993-05-24,848.0
Brooke Elby,2018,1993-05-24,846.0
Brooke Elby,2019,1993-05-24,319.0
Brooke Hendrix,2021,1993-05-06,553.0
Bruna Benites,2017,1985-10-16,841.0
Bruninha,2022,2002-06-16,25.0
Bruninha,2023,2002-06-16,1388.0
Bruninha,2024,2002-06-16,861.0
Bárbara Olivieri,2023,2002-02-24,171.0
Bárbara Olivieri,2024,2002-02-24,1595.0
Caitlin Cosme,2023,1999-01-19,360.0
Caitlin Farrell,2019,1997-09-29,15.0
Caitlin Foord,2018,1994-11-11,276.0
Caitlin Foord,2019,1994-11-11,836.0
Caity Heap,2016,1994-08-10,127.0
Caity Heap,2017,1994-08-10,338.0
Cali Farquharson,2016,1993-12-17,559.0
Cali Farquharson,2017,1993-12-17,352.0
Cali Farquharson,2018,1993-12-17,152.0
Cali Farquharson,2019,1993-12-17,541.0
Cali Farquharson,2022,1993-12-17,62.0
Cameron Castleberry,2017,1995-03-14,26.0
Cameron Tucker,2022,1999-07-15,225.0
Cameron Tucker,2023,1999-07-15,244.0
Cameron Tucker,2024,1999-07-15,553.0
Cami Privett,2016,1993-03-16,1056.0
Cami Privett,2017,1993-03-16,750.0
Cami Privett,2019,1993-03-16,17.0
Cami Privett,2021,1993-03-16,10.0
Camila,2017,1994-10-10,1900.0
Camila,2018,1994-10-10,318.0
Camila,2019,1994-10-10,579.0
Camille Levin,2016,1990-04-24,836.0
Camille Levin,2017,1990-04-24,1980.0
Camryn Biegalski,2021,1998-08-11,192.0
Camryn Biegalski,2022,1998-08-11,1257.0
Camryn Biegalski,2023,1998-08-11,273.0
Camryn Biegalski,2024,1998-08-11,375.0
Caprice Dydasco,2016,1993-08-19,1080.0
Caprice Dydasco,2017,1993-08-19,1118.0
Caprice Dydasco,2018,1993-08-19,1948.0
Caprice Dydasco,2019,1993-08-19,2028.0
Caprice Dydasco,2021,1993-08-19,2073.0
Caprice Dydasco,2022,1993-08-19,1356.0
Caprice Dydasco,2023,1993-08-19,1933.0
Caprice Dydasco,2024,1993-08-19,2025.0
Cara Walls,2016,1993-06-16,702.0
Cari Roccaro,2016,1994-07-18,1267.0
Cari Roccaro,2017,1994-07-18,1500.0
Cari Roccaro,2018,1994-07-18,172.0
Cari Roccaro,2019,1994-07-18,908.0
Cari Roccaro,2021,1994-07-18,968.0
Cari Roccaro,2022,1994-07-18,1646.0
Cari Roccaro,2023,1994-07-18,1830.0
Cari Roccaro,2024,1994-07-18,2331.0
Carli Lloyd,2016,1982-07-16,553.0
Carli Lloyd,2017,1982-07-16,647.0
Carli Lloyd,2018,1982-07-16,1563.0
Carli Lloyd,2019,1982-07-16,1260.0
Carli Lloyd,2021,1982-07-16,1240.0
Carlin Hudson,2019,1996-11-01,50.0
Carly Nelson,2021,1998-02-11,90.0
Carly Nelson,2023,1998-02-11,265.0
Carly Nelson,2024,1998-02-11,90.0
Carly Telford,2022,1987-07-07,360.0
Caroline Casey,2016,1994-05-27,860.0
Caroline Casey,2017,1994-05-27,180.0
Caroline Casey,2018,1994-05-27,90.0
Caroline Conti,2024,2001-03-28,97.0
Caroline Flynn,2017,1994-02-28,153.0
Caroline Kastor,2016,1991-10-12,296.0
Caroline Stanley,2016,1993-03-16,940.0
Caroline Stanley,2017,1993-03-16,64.0
Carrie Lawrence,2022,1997-07-15,1114.0
Carrie Lawrence,2024,1997-07-15,285.0
Carson Pickett,2016,1993-09-15,841.0
Carson Pickett,2017,1993-09-15,1869.0
Carson Pickett,2018,1993-09-15,1381.0
Carson Pickett,2019,1993-09-15,1688.0
Carson Pickett,2021,1993-09-15,2147.0
Carson Pickett,2022,1993-09-15,1731.0
Carson Pickett,2023,1993-09-15,1693.0
Carson Pickett,2024,1993-09-15,1831.0
Casey Krueger,2016,1990-08-23,1781.0
Casey Krueger,2017,1990-08-23,1914.0
Casey Krueger,2018,1990-08-23,654.0
Casey Krueger,2019,1990-08-23,2055.0
Casey Krueger,2021,1990-08-23,1440.0
Casey Krueger,2023,1990-08-23,1711.0
Casey Krueger,2024,1990-08-23,1681.0
Casey Murphy,2019,1996-04-25,1710.0
Casey Murphy,2021,1996-04-25,2070.0
Casey Murphy,2022,1996-04-25,1620.0
Casey Murphy,2023,1996-04-25,1762.0
Casey Murphy,2024,1996-04-25,2340.0
Cassidy Benintente,2017,1994-06-12,31.0
Cassie Miller,2021,1995-04-28,1350.0
Cassie Miller,2022,1995-04-28,180.0
Cassie Miller,2023,1995-04-28,900.0
Cassie Miller,2024,1995-04-28,360.0
Catherine Zimmerman,2016,1994-01-15,258.0
Cece Kizer,2019,1997-08-07,364.0
Cece Kizer,2021,1997-08-07,1889.0
Cece Kizer,2022,1997-08-07,1628.0
Cece Kizer,2023,1997-08-07,1468.0
Cece Kizer,2024,1997-08-07,277.0
Celeste Boureille,2016,1994-04-20,466.0
Celeste Boureille,2017,1994-04-20,1181.0
Celeste Boureille,2018,1994-04-20,1586.0
Celeste Boureille,2019,1994-04-20,650.0
Celeste Boureille,2021,1994-04-20,647.0
Celia,2019,1995-06-20,899.0
Celia,2021,1995-06-20,706.0
Celia,2022,1995-06-20,1287.0
Celia,2023,1995-06-20,193.0
Celia,2024,1995-06-20,74.0
Chai Cortez,2023,1998-07-18,66.0
Channing Foster,2022,1998-12-25,1.0
Chardonnay Curran,2022,1999-08-18,363.0
Chardonnay Curran,2023,1999-08-18,304.0
Chardonnay Curran,2024,1999-08-18,233.0
Chelsee Washington,2021,1997-11-17,206.0
Chelsee Washington,2022,1997-11-17,36.0
Chelsie Dawber,2022,2000-01-12,84.0
Cheyenne Shorts,2022,1998-08-10,1.0
Cheyenne Shorts,2023,1998-08-10,180.0
Cheyna Matthews,2016,1993-11-10,780.0
Cheyna Matthews,2017,1993-11-10,1257.0
Cheyna Matthews,2019,1993-11-10,905.0
Cheyna Matthews,2021,1993-11-10,429.0
Cheyna Matthews,2023,1993-11-10,389.0
Chinyelu Asher,2021,1993-05-20,72.0
Chioma Ubogagu,2016,1992-09-10,805.0
Chioma Ubogagu,2017,1992-09-10,1345.0
Chioma Ubogagu,2018,1992-09-10,1340.0
Chioma Ubogagu,2019,1992-09-10,1311.0
Chloe Logarzo,2019,1994-12-22,796.0
Chloe Logarzo,2021,1994-12-22,172.0
Chloe Ricketts,2023,2007-05-23,576.0
Chloe Ricketts,2024,2007-05-23,36.0
Christen Press,2016,1988-12-29,1260.0
Christen Press,2017,1988-12-29,1997.0
Christen Press,2018,1988-12-29,975.0
Christen Press,2019,1988-12-29,1255.0
Christen Press,2022,1988-12-29,686.0
Christen Press,2024,1988-12-29,196.0
Christen Westphal,2016,1993-09-02,580.0
Christen Westphal,2017,1993-09-02,1129.0
Christen Westphal,2018,1993-09-02,694.0
Christen Westphal,2019,1993-09-02,138.0
Christen Westphal,2021,1993-09-02,786.0
Christen Westphal,2022,1993-09-02,1780.0
Christen Westphal,2023,1993-09-02,1967.0
Christen Westphal,2024,1993-09-02,725.0
Christie Pearce,2016,1975-06-24,1800.0
Christie Pearce,2017,1975-06-24,1440.0
Christina Burkenroad,2016,1993-07-12,252.0
Christina Burkenroad,2017,1993-07-12,8.0
Christina Gibbons,2017,1994-12-30,2083.0
Christina Gibbons,2018,1994-12-30,1430.0
Christine Nairn,2016,1990-09-25,1618.0
Christine Nairn,2017,1990-09-25,1646.0
Christine Nairn,2018,1990-09-25,1115.0
Christine Nairn,2019,1990-09-25,1663.0
Christine Nairn,2021,1990-09-25,65.0
Christine Sinclair,2016,1983-06-12,826.0
Christine Sinclair,2017,1983-06-12,2143.0
Christine Sinclair,2018,1983-06-12,2160.0
Christine Sinclair,2019,1983-06-12,1530.0
Christine Sinclair,2021,1983-06-12,1239.0
Christine Sinclair,2022,1983-06-12,990.0
Christine Sinclair,2023,1983-06-12,1033.0
Christine Sinclair,2024,1983-06-12,1251.0
Civana Kuhlmann,2023,1999-04-14,144.0
Claire Emslie,2019,1994-03-08,773.0
Claire Emslie,2022,1994-03-08,783.0
Claire Emslie,2023,1994-03-08,1278.0
Claire Emslie,2024,1994-03-08,1970.0
Claire Falknor,2017,1993-05-12,276.0
Claire Falknor,2018,1993-05-12,27.0
Claire Hutton,2024,2006-01-11,1658.0
Claire Lavogez,2022,1994-06-18,606.0
Claire Lavogez,2023,1994-06-18,54.0
Claire Lavogez,2024,1994-06-18,476.0
Clara Schilke,2023,1998-12-09,91.0
Clare Polkinghorne,2018,1989-02-01,782.0
Clare Polkinghorne,2019,1989-02-01,810.0
Clarisse Le Bihan,2022,1994-12-14,1099.0
Clarisse Le Bihan,2023,1994-12-14,676.0
Clarisse Le Bihan,2024,1994-12-14,490.0
Claudia Dickey,2023,2000-01-06,540.0
Claudia Dickey,2024,2000-01-06,1590.0
Claudia Zornoza,2024,1990-10-20,846.0
Cloé Lacasse,2024,1993-07-07,665.0
CoCo Goodson,2016,1990-06-19,8.0
Cori Dyke,2024,2000-09-20,1095.0
Cortnee Vine,2024,1998-04-09,233.0
Courtney Brown,2024,2000-11-25,942.0
Courtney Niemiec,2016,1992-04-13,395.0
Courtney Petersen,2021,1997-10-28,1877.0
Courtney Petersen,2022,1997-10-28,1011.0
Courtney Petersen,2023,1997-10-28,562.0
Courtney Petersen,2024,1997-10-28,1699.0
Courtney Raetzman,2016,1994-04-09,52.0
Cristina Roque,2024,2001-11-06,90.0
Croix Bethune,2024,2001-03-14,1389.0
Crystal Dunn,2016,1992-07-03,1140.0
Crystal Dunn,2018,1992-07-03,1800.0
Crystal Dunn,2019,1992-07-03,999.0
Crystal Dunn,2021,1992-07-03,1071.0
Crystal Dunn,2022,1992-07-03,43.0
Crystal Dunn,2023,1992-07-03,1311.0
Crystal Dunn,2024,1992-07-03,1059.0
Crystal Thomas,2017,1994-01-18,25.0
Crystal Thomas,2019,1994-01-18,665.0
Crystal Thomas,2021,1994-01-18,305.0
Dagný Brynjarsdóttir,2016,1991-08-10,1072.0
Dagný Brynjarsdóttir,2017,1991-08-10,512.0
Dagný Brynjarsdóttir,2019,1991-08-10,1564.0
Dana Foederer,2024,2002-07-27,1537.0
Dani Weatherholt,2016,1994-03-17,786.0
Dani Weatherholt,2017,1994-03-17,1486.0
Dani Weatherholt,2018,1994-03-17,1658.0
Dani Weatherholt,2019,1994-03-17,1341.0
Dani Weatherholt,2021,1994-03-17,1026.0
Dani Weatherholt,2022,1994-03-17,1743.0
Dani Weatherholt,2023,1994-03-17,1448.0
Dani Weatherholt,2024,1994-03-17,835.0
Danica Evans,2017,1995-06-02,195.0
Danica Evans,2018,1995-06-02,49.0
Danica Evans,2019,1995-06-02,322.0
Danielle Colaprico,2016,1993-05-06,1784.0
Danielle Colaprico,2017,1993-05-06,1903.0
Danielle Colaprico,2018,1993-05-06,1906.0
Danielle Colaprico,2019,1993-05-06,1566.0
Danielle Colaprico,2021,1993-05-06,893.0
Danielle Colaprico,2022,1993-05-06,1832.0
Danielle Colaprico,2023,1993-05-06,1738.0
Danielle Colaprico,2024,1993-05-06,1558.0
Danielle Schulmann,2016,1989-12-22,42.0
Daphné Corboz,2017,1993-06-14,1160.0
Darian Jenkins,2018,1995-01-05,178.0
Darian Jenkins,2019,1995-01-05,899.0
Darian Jenkins,2021,1995-01-05,1431.0
Darian Jenkins,2022,1995-01-05,1260.0
Debinha,2017,1991-10-20,1472.0
Debinha,2018,1991-10-20,1728.0
Debinha,2019,1991-10-20,1527.0
Debinha,2021,1991-10-20,1540.0
Debinha,2022,1991-10-20,1580.0
Debinha,2023,1991-10-20,1526.0
Debinha,2024,1991-10-20,1473.0
Delanie Sheehan,2021,1999-01-13,257.0
Delanie Sheehan,2022,1999-01-13,326.0
Delanie Sheehan,2023,1999-01-13,1237.0
Delanie Sheehan,2024,1999-01-13,2105.0
Delphine Cascarino,2024,1997-02-05,639.0
Deneisha Blackwood,2021,1997-03-07,6.0
Denise O'Sullivan,2016,1994-02-04,1313.0
Denise O'Sullivan,2017,1994-02-04,952.0
Denise O'Sullivan,2018,1994-02-04,1752.0
Denise O'Sullivan,2019,1994-02-04,1966.0
Denise O'Sullivan,2021,1994-02-04,1965.0
Denise O'Sullivan,2022,1994-02-04,1583.0
Denise O'Sullivan,2023,1994-02-04,1752.0
Denise O'Sullivan,2024,1994-02-04,1930.0
Desiree Scott,2016,1987-07-31,1260.0
Desiree Scott,2017,1987-07-31,1803.0
