number,position,name,birthday,age,caps,goals,club,country
17,FW,Francisca Ordega,19 October 1993,25,26,7,China Shanghai [zh],Nigeria
18,MF,Halimatu Ayinde,16 May 1995,24,12,0,Sweden Eskilstuna United,Nigeria
19,FW,Chinwendu Ihezuo,30 April 1997,22,,,China Henan Huishang,Nigeria
20,DF,Chidinma Okeke,11 August 2000,18,,,Nigeria Robo Queens,Nigeria
21,GK,Alaba Jonathan,1 June 1992,27,,,Nigeria Bayelsa Queens,Nigeria
22,FW,Alice Ogebe,30 March 1995,24,7,0,Nigeria Rivers Angels,Nigeria
23,MF,Ogonna Chukwudi,14 September 1988,30,20,3,Sweden Djurgården,Nigeria
1,GK,Ingrid Hjelmseth,10 April 1980,39,132,0,Norway Stabæk,Norway
2,DF,Ingrid Moe Wold,29 January 1990,29,60,3,Norway LSK Kvinner,Norway
3,DF,Maria Thorisdottir,5 June 1993,26,32,1,England Chelsea,Norway
4,DF,Stine Hovland,31 January 1991,28,7,0,Norway Sandviken,Norway
5,MF,Synne Skinnes Hansen,12 August 1995,23,14,0,Norway LSK Kvinner,Norway
6,DF,Maren Mjelde,6 November 1989,29,136,19,England Chelsea,Norway
7,FW,Elise Thorsnes,14 August 1988,30,116,19,Norway LSK Kvinner,Norway
8,MF,Vilde Bøe Risa,13 July 1995,23,19,2,Sweden Kopparbergs/Göteborg,Norway
9,FW,Isabell Herlovsen,23 June 1988,30,126,60,Norway Kolbotn,Norway
10,FW,Caroline Graham Hansen,18 February 1995,24,72,25,Germany VfL Wolfsburg,Norway
11,FW,Lisa-Marie Karlseng Utland,19 September 1992,26,41,14,Sweden Rosengård,Norway
12,GK,Cecilie Fiskerstrand,20 March 1996,23,21,0,Norway LSK Kvinner,Norway
13,FW,Therese Åsland,26 August 1995,23,6,1,Norway LSK Kvinner,Norway
14,MF,Ingrid Syrstad Engen,29 April 1998,21,16,2,Norway LSK Kvinner,Norway
15,MF,Amalie Eikeland,26 August 1995,23,6,0,Norway Sandviken,Norway
16,FW,Guro Reiten,26 July 1994,24,37,5,Norway LSK Kvinner,Norway
17,MF,Kristine Minde,8 August 1992,26,97,9,Germany VfL Wolfsburg,Norway
18,MF,Frida Maanum,16 July 1999,19,20,0,Sweden Linköping,Norway
19,DF,Cecilie Redisch Kvamme,9 November 1995,23,3,0,Norway Sandviken,Norway
20,FW,Emilie Haavi,16 June 1992,26,82,16,Norway LSK Kvinner,Norway
21,MF,Karina Sævik,24 March 1996,23,4,1,Norway Kolbotn,Norway
22,FW,Emilie Nautnes,13 January 1999,20,6,1,Norway Arna-Bjørnar,Norway
23,GK,Oda Maria Hove Bogstad,24 April 1996,23,0,0,Norway Arna-Bjørnar,Norway
1,GK,Kang Ga-ae,10 December 1990,28,13,0,South Korea Gumi Sportstoto,South Korea
2,DF,Lee Eun-mi,18 August 1988,30,87,14,South Korea Suwon UDC,South Korea
3,DF,Jeong Yeong-a,9 December 1990,28,12,0,South Korea Gyeongju KHNP,South Korea
4,DF,Hwang Bo-ram,6 October 1987,31,42,0,South Korea Hwacheon KSPO,South Korea
5,DF,Kim Do-yeon,7 December 1988,30,79,1,South Korea Hyundai Steel Red Angels,South Korea
6,DF,Lim Seon-joo,27 November 1990,28,76,5,South Korea Hyundai Steel Red Angels,South Korea
7,MF,Lee Min-a,8 November 1991,27,56,14,Japan INAC Kobe Leonessa,South Korea
8,MF,Cho So-hyun,24 June 1988,30,120,20,England West Ham United,South Korea
9,MF,Moon Mi-ra,28 February 1992,27,22,11,South Korea Suwon UDC,South Korea
10,FW,Ji So-yun,21 February 1991,28,115,54,England Chelsea,South Korea
11,FW,Jung Seol-bin,6 January 1990,29,74,21,South Korea Hyundai Steel Red Angels,South Korea
12,FW,Kang Yu-mi,5 October 1991,27,25,8,South Korea Hwacheon KSPO,South Korea
13,FW,Yeo Min-ji,27 April 1993,26,34,12,South Korea Suwon UDC,South Korea
14,DF,Shin Dam-yeong,2 October 1993,25,37,1,South Korea Hyundai Steel Red Angels,South Korea
15,MF,Lee Young-ju,22 April 1992,27,28,2,South Korea Hyundai Steel Red Angels,South Korea
16,DF,Jang Sel-gi,31 May 1994,25,54,11,South Korea Hyundai Steel Red Angels,South Korea
17,FW,Lee Geum-min,7 April 1994,25,50,16,South Korea Gyeongju KHNP,South Korea
18,GK,Kim Min-jeong,12 September 1996,22,2,0,South Korea Hyundai Steel Red Angels,South Korea
19,MF,Lee So-dam,12 October 1994,24,49,5,South Korea Hyundai Steel Red Angels,South Korea
20,DF,Kim Hye-ri,25 June 1990,28,80,1,South Korea Hyundai Steel Red Angels,South Korea
21,GK,Jung Bo-ram,22 July 1991,27,3,0,South Korea Hwacheon KSPO,South Korea
22,FW,Son Hwa-yeon,15 March 1997,22,20,7,South Korea Changnyeong,South Korea
23,FW,Kang Chae-rim,23 March 1998,21,1,0,South Korea Hyundai Steel Red Angels,South Korea
1,GK,Xu Huan,6 March 1999,20,1,0,China Beijing Phoenix,China
2,DF,Liu Shanshan,16 March 1992,27,110,1,China Beijing Phoenix,China
3,DF,Lin Yuping,28 February 1992,27,13,0,China Wuhan Jianghan University,China
4,MF,Lou Jiahui,26 May 1991,28,112,4,China Henan Huishang,China
5,DF,Wu Haiyan,26 February 1993,26,114,0,China Wuhan Jianghan University,China
6,DF,Han Peng,20 December 1989,29,93,4,China Guangdong Huijun,China
7,MF,Wang Shuang,23 January 1995,24,96,26,France Paris Saint-Germain,China
8,DF,Li Jiayue,8 June 1990,28,67,1,China Shanghai [zh],China
9,FW,Yang Li,26 February 1993,26,59,31,China Jiangsu Suning [zh],China
10,FW,Li Ying,7 January 1993,26,108,26,China Guangdong Huijun,China
11,FW,Wang Shanshan,27 January 1990,29,132,46,China Dalian Quanjian,China
12,GK,Peng Shimeng,12 May 1998,21,15,0,China Jiangsu Suning [zh],China
13,MF,Wang Yan,22 August 1991,27,28,0,China Beijing Phoenix,China
14,DF,Wang Ying,18 November 1997,21,4,0,China Wuhan Jianghan University,China
15,FW,Song Duan,2 August 1995,23,23,7,China Dalian Quanjian,China
16,MF,Li Wen,21 February 1989,30,32,3,China Dalian Quanjian,China
17,MF,Gu Yasha,28 November 1990,28,117,13,China Beijing Phoenix,China
18,GK,Bi Xiaolin,18 September 1989,29,35,0,China Dalian Quanjian,China
19,MF,Tan Ruyin,17 July 1994,24,52,1,China Guangdong Huijun,China
20,MF,Zhang Rui,17 January 1989,30,145,24,China Changchun Zhuoyue,China
21,MF,Yao Wei,1 September 1997,21,14,3,China Wuhan Jianghan University,China
22,DF,Luo Guiping,20 April 1993,26,1,0,China Guangdong Huijun,China
23,MF,Liu Yanqiu,31 December 1995,23,2,0,China Wuhan Jianghan University,China
1,GK,Almuth Schult,9 February 1991,28,59,0,Germany VfL Wolfsburg,Germany
2,DF,Carolin Simon,24 November 1992,26,15,3,France Lyon,Germany
3,DF,Kathrin Hendrich,6 April 1992,27,29,4,Germany Bayern Munich,Germany
4,DF,Leonie Maier,29 September 1992,26,69,10,Germany Bayern Munich,Germany
5,DF,Marina Hegering,17 April 1990,29,3,0,Germany SGS Essen,Germany
6,MF,Lena Oberdorf,19 December 2001,17,3,0,Germany SGS Essen,Germany
7,FW,Lea Schüller,12 November 1997,21,13,8,Germany SGS Essen,Germany
8,MF,Lena Goeßling,8 March 1986,33,105,10,Germany VfL Wolfsburg,Germany
9,FW,Svenja Huth,25 January 1991,28,44,7,Germany Turbine Potsdam,Germany
10,MF,Dzsenifer Marozsán,18 April 1992,27,90,32,France Lyon,Germany
11,FW,Alexandra Popp,6 April 1991,28,96,46,Germany VfL Wolfsburg,Germany
12,GK,Laura Benkarth,14 October 1992,26,8,0,Germany Bayern Munich,Germany
13,MF,Sara Däbritz,15 February 1995,24,60,10,Germany Bayern Munich,Germany
14,DF,Johanna Elsig,1 November 1992,26,12,0,Germany Turbine Potsdam,Germany
15,DF,Giulia Gwinn,2 July 1999,19,8,1,Germany SC Freiburg,Germany
16,MF,Linda Dallmann,2 September 1994,24,21,5,Germany SGS Essen,Germany
17,DF,Verena Schweers,22 May 1989,30,44,3,Germany Bayern Munich,Germany
18,MF,Melanie Leupolz,14 April 1994,25,58,8,Germany Bayern Munich,Germany
19,FW,Klara Bühl,7 December 2000,18,2,0,Germany SC Freiburg,Germany
20,MF,Lina Magull,15 August 1994,24,31,7,Germany Bayern Munich,Germany
21,GK,Merle Frohms,28 January 1995,24,4,0,Germany SC Freiburg,Germany
22,FW,Turid Knaak,24 January 1991,28,8,1,Germany SGS Essen,Germany
23,DF,Sara Doorsoun,17 November 1991,27,25,0,Germany VfL Wolfsburg,Germany
1,GK,Mapaseka Mpuru,9 April 1998,21,0,0,South Africa University of Pretoria,South Africa
2,DF,Lebogang Ramalepe,3 December 1991,27,63,1,South Africa MaIndies,South Africa
3,DF,Nothando Vilakazi,28 October 1988,30,130,6,Lithuania Gintra Universitetas,South Africa
4,DF,Noko Matlou,30 September 1985,33,153,61,South Africa MaIndies,South Africa
5,DF,Janine van Wyk,17 April 1987,32,166,11,South Africa JVW,South Africa
6,MF,Mamello Makhabane,24 February 1988,31,96,18,South Africa JVW,South Africa
7,MF,Karabo Dhlamini,18 September 2001,17,5,0,South Africa Mamelodi Sundowns,South Africa
8,FW,Ode Fulutudilu,6 February 1990,29,12,1,Spain Málaga,South Africa
9,FW,Amanda Mthandi,23 May 1996,23,10,2,South Africa University of Johannesburg,South Africa
10,FW,Linda Motlhalo,1 July 1998,20,43,9,China Beijing Phoenix,South Africa
11,FW,Thembi Kgatlana,2 May 1996,23,53,7,China Beijing Phoenix,South Africa
12,FW,Jermaine Seoposenwe,12 October 1993,25,74,6,Lithuania Gintra Universitetas,South Africa
13,MF,Bambanani Mbane,12 March 1990,29,44,0,South Africa Bloemfontein Celtic,South Africa
14,DF,Tiisetso Makhubela,24 April 1997,22,2,0,South Africa Mamelodi Sundowns,South Africa
15,MF,Refiloe Jane,4 August 1992,26,105,12,Unattached,South Africa
16,GK,Andile Dlamini,2 September 1992,26,38,0,South Africa Mamelodi Sundowns,South Africa
17,MF,Leandra Smeda,22 July 1989,29,95,10,Sweden Vittsjö,South Africa
18,DF,Bongeka Gamede,22 May 1999,20,1,0,South Africa University of the Western Cape,South Africa
19,MF,Kholosa Biyana,16 April 1994,25,18,1,South Africa University of KwaZulu-Natal,South Africa
20,GK,Kaylin Swart,30 September 1994,24,18,0,South Africa Golden Stars,South Africa
21,FW,Busisiwe Ndimeni,25 June 1991,27,27,0,South Africa Tshwane University of Technology,South Africa
22,FW,Rhoda Mulaudzi,2 December 1989,29,23,0,Unattached,South Africa
23,MF,Sibulele Holweni,28 April 2001,18,2,0,South Africa Sophakama Ladies/HPC,South Africa
1,GK,Lola Gallardo,10 June 1993,25,29,0,Spain Atlético Madrid,Spain
2,DF,Celia Jiménez,20 June 1995,23,22,0,United States Reign FC,Spain
3,DF,Leila Ouahabi,22 March 1993,26,27,1,Spain Barcelona,Spain
4,DF,Irene Paredes,4 July 1991,27,62,8,France Paris Saint-Germain,Spain
5,DF,Ivana Andrés,13 July 1994,24,21,0,Spain Levante,Spain
6,MF,Vicky Losada,5 March 1991,28,62,13,Spain Barcelona,Spain
7,DF,Marta Corredera,8 August 1991,27,67,5,Spain Levante,Spain
8,DF,Marta Torrejón,27 February 1990,29,86,9,Spain Barcelona,Spain
9,FW,Mariona Caldentey,19 March 1996,23,21,2,Spain Barcelona,Spain
10,FW,Jennifer Hermoso,9 May 1990,29,67,28,Spain Atlético Madrid,Spain
11,FW,Alexia Putellas,4 February 1994,25,66,13,Spain Barcelona,Spain
12,MF,Patricia Guijarro,17 May 1998,21,17,3,Spain Barcelona,Spain
13,GK,Sandra Paños,4 November 1992,26,29,0,Spain Barcelona,Spain
14,MF,Virginia Torrecilla,4 September 1994,24,54,6,France Montpellier,Spain
15,MF,Silvia Meseguer,12 March 1989,30,65,5,Spain Atlético Madrid,Spain
16,DF,María Pilar León,13 June 1995,23,24,0,Spain Barcelona,Spain
17,FW,Lucía García,14 July 1998,20,14,0,Spain Athletic Bilbao,Spain
18,MF,Aitana Bonmatí,18 January 1998,21,13,1,Spain Barcelona,Spain
19,FW,Amanda Sampedro,26 June 1993,25,46,11,Spain Atlético Madrid,Spain
20,DF,Andrea Pereira,19 September 1993,25,26,0,Spain Barcelona,Spain
21,MF,Andrea Falcón,28 February 1997,22,7,1,Spain Atlético Madrid,Spain
22,FW,Nahikari García,10 March 1997,22,8,1,Spain Real Sociedad,Spain
23,GK,María Asunción Quiñones,29 October 1996,22,3,0,Spain Real Sociedad,Spain
1,GK,Lydia Williams,13 May 1988,31,78,0,United States Reign FC,Australia
2,DF,Gema Simon,19 July 1990,28,11,0,Australia Newcastle Jets,Australia
3,MF,Aivi Luik,18 March 1985,34,21,0,Spain Levante,Australia
4,DF,Clare Polkinghorne,1 February 1989,30,117,9,United States Houston Dash,Australia
5,DF,Karly Roestbakken,17 January 2001,18,0,0,Australia Canberra United,Australia
6,MF,Chloe Logarzo,22 December 1994,24,38,6,United States Washington Spirit,Australia
7,DF,Steph Catley,26 January 1994,25,72,2,United States Reign FC,Australia
8,MF,Elise Kellond-Knight,10 August 1990,28,106,1,United States Reign FC,Australia
9,FW,Caitlin Foord,11 November 1994,24,72,16,United States Portland Thorns,Australia
10,MF,Emily van Egmond,12 July 1993,25,86,18,United States Orlando Pride,Australia
11,FW,Lisa De Vanna,14 November 1984,34,148,47,Australia Sydney FC,Australia
12,GK,Teagan Micah,20 October 1997,21,0,0,United States UCLA Bruins,Australia
13,MF,Tameka Yallop,16 June 1991,27,79,10,Norway Klepp,Australia
14,DF,Alanna Kennedy,21 January 1995,24,78,7,United States Orlando Pride,Australia
15,FW,Emily Gielnik,13 May 1992,27,29,7,Australia Melbourne Victory,Australia
16,FW,Hayley Raso,5 September 1994,24,35,3,United States Portland Thorns,Australia
17,MF,Mary Fowler,14 February 2003,16,4,0,Australia Bankstown City,Australia
18,GK,Mackenzie Arnold,25 February 1994,25,23,0,Australia Brisbane Roar,Australia
19,MF,Katrina Gorry,13 August 1992,26,74,14,Australia Brisbane Roar,Australia
20,FW,Sam Kerr,10 September 1993,25,77,31,United States Chicago Red Stars,Australia
21,DF,Ellie Carpenter,28 April 2000,19,32,1,United States Portland Thorns,Australia
22,MF,Amy Harrison,21 April 1996,23,10,0,United States Washington Spirit,Australia
23,DF,Teigen Allen,12 February 1994,25,40,0,Australia Melbourne Victory,Australia
1,GK,Bárbara,4 July 1988,30,70,0,Brazil Kindermann,Brazil
2,DF,Poliana,6 February 1991,28,61,5,Brazil São José,Brazil
3,DF,Daiane,7 September 1997,21,4,0,France Paris Saint-Germain,Brazil
4,DF,Tayla,9 May 1992,27,17,1,Portugal Benfica,Brazil
5,MF,Thaisa,17 December 1988,30,78,5,Italy Milan,Brazil
6,DF,Tamires,10 October 1987,31,90,4,Denmark Fortuna Hjørring,Brazil
7,FW,Andressa,10 November 1992,26,82,18,Spain Barcelona,Brazil
8,MF,Formiga,3 March 1978,41,186,26,France Paris Saint-Germain,Brazil
9,FW,Debinha,20 October 1991,27,81,28,United States North Carolina Courage,Brazil
10,FW,Marta,19 February 1986,33,144,105,United States Orlando Pride,Brazil
11,FW,Cristiane,15 May 1985,34,138,89,Brazil São Paulo,Brazil
12,GK,Aline,15 April 1989,30,8,0,Spain Granadilla,Brazil
13,DF,Letícia Santos,2 December 1994,24,20,0,Germany SC Sand,Brazil
14,DF,Kathellen,26 April 1996,23,4,0,France Bordeaux,Brazil
15,DF,Camila,10 October 1994,24,17,2,United States Orlando Pride,Brazil
16,FW,Beatriz,17 December 1993,25,68,22,South Korea Hyundai Steel Red Angels,Brazil
17,MF,Andressinha,1 May 1995,24,69,10,United States Portland Thorns,Brazil
18,MF,Luana,2 May 1993,26,7,0,South Korea Hwacheon KSPO,Brazil
19,FW,Ludmila,11 December 1994,24,12,1,Spain Atlético Madrid,Brazil
20,FW,Raquel,21 March 1991,28,46,8,Spain Sporting Huelva,Brazil
21,DF,Mônica,21 April 1987,32,58,9,Brazil Corinthians,Brazil
22,GK,Letícia Izidoro,13 August 1994,24,1,0,Brazil Corinthians,Brazil
23,FW,Geyse,27 March 1998,21,7,0,Portugal Benfica,Brazil
1,GK,Laura Giuliani,6 June 1993,26,35,0,Italy Juventus,Italy
2,MF,Valentina Bergamaschi,22 January 1997,22,15,3,Italy Milan,Italy
3,DF,Sara Gama,27 March 1989,30,96,5,Italy Juventus,Italy
4,MF,Aurora Galli,13 December 1996,22,23,1,Italy Juventus,Italy
5,DF,Elena Linari,15 April 1994,25,29,0,Spain Atlético Madrid,Italy
6,MF,Martina Rosucci,9 May 1992,27,36,1,Italy Juventus,Italy
7,DF,Alia Guagni,1 October 1987,31,62,5,Italy Fiorentina,Italy
8,MF,Alice Parisi,11 December 1990,28,46,5,Italy Fiorentina,Italy
9,FW,Daniela Sabatino,26 June 1985,33,46,21,Italy Milan,Italy
10,FW,Cristiana Girelli,23 April 1990,29,52,28,Italy Juventus,Italy
11,FW,Barbara Bonansea,13 June 1991,27,49,17,Italy Juventus,Italy
12,GK,Chiara Marchitelli,4 May 1985,34,40,0,Italy Florentia,Italy
13,DF,Elisa Bartoli,7 May 1991,28,46,1,Italy Roma,Italy
14,FW,Stefania Tarenzi,29 February 1988,31,3,1,Italy ChievoVerona Valpo [it],Italy
15,MF,Annamaria Serturini,13 May 1998,21,0,0,Italy Roma,Italy
16,DF,Laura Fusetti,8 October 1990,28,0,0,Italy Milan,Italy
17,DF,Lisa Boattin,3 May 1997,22,11,0,Italy Juventus,Italy
18,FW,Ilaria Mauro,22 May 1988,31,25,8,Italy Fiorentina,Italy
19,FW,Valentina Giacinti,2 January 1994,25,20,3,Italy Milan,Italy
20,DF,Linda Tucceri Cimini,4 April 1991,28,8,1,Italy Milan,Italy
21,MF,Valentina Cernoia,22 June 1991,27,31,6,Italy Juventus,Italy
22,GK,Rosalia Pipitone,3 August 1985,33,3,0,Italy Roma,Italy
23,MF,Manuela Giugliano,18 August 1997,21,21,3,Italy Milan,Italy
1,GK,Sydney Schneider,31 August 1999,19,11,0,United States UNC Wilmington Seahawks,Jamaica
2,DF,Lauren Silver,22 March 1993,26,19,1,Norway Trondheims-Ørn,Jamaica
3,FW,Chanel Hudson-Marks,14 September 1997,21,4,0,United States Memphis Tigers,Jamaica
4,MF,Chantelle Swaby,6 August 1998,20,10,0,United States Rutgers Scarlet Knights,Jamaica
5,DF,Konya Plummer,2 August 1997,21,17,1,United States UCF Knights,Jamaica
6,MF,Havana Solaun,23 March 1993,26,2,0,Norway Klepp,Jamaica
7,MF,Chinyelu Asher,20 May 1993,26,23,3,Norway Stabæk,Jamaica
8,FW,Ashleigh Shim,11 November 1993,25,6,1,Unattached,Jamaica
9,MF,Marlo Sweatman,1 December 1994,24,14,3,Hungary Szent Mihály,Jamaica
10,FW,Jody Brown,16 April 2002,17,13,8,United States Montverde Academy,Jamaica
11,FW,Khadija Shaw,31 January 1997,22,22,31,United States Tennessee Volunteers,Jamaica
12,DF,Sashana Campbell,2 March 1991,28,9,2,Israel Maccabi Kishronot Hadera,Jamaica
13,GK,Nicole McClure,16 November 1989,29,10,0,Northern Ireland Sion Swifts,Jamaica
14,DF,Deneisha Blackwood,7 March 1997,22,14,2,United States West Florida Argonauts,Jamaica
15,FW,Tiffany Cameron,16 October 1991,27,3,0,Norway Stabæk,Jamaica
16,DF,Dominique Bond-Flasza,11 September 1996,22,17,2,Netherlands PSV,Jamaica
17,DF,Allyson Swaby,3 October 1996,22,10,0,Italy Roma,Jamaica
18,FW,Trudi Carter,18 November 1994,24,14,3,Italy Roma,Jamaica
19,MF,Toriana Patterson,2 February 1994,25,10,0,Italy Pink Sport Time,Jamaica
20,FW,Cheyna Matthews,10 November 1993,25,3,0,United States Washington Spirit,Jamaica
21,MF,Olufolasade Adamolekun,21 February 2001,18,4,0,United States United Soccer Alliance,Jamaica
22,FW,Mireya Grey,7 September 1998,20,1,0,United States Seattle Sounders,Jamaica
23,GK,Yazmeen Jamieson,17 March 1998,21,3,0,New Zealand Papakura City,Jamaica
1,GK,Vanina Correa,14 August 1983,35,31,0,Argentina Rosario Central,Argentina
2,DF,Agustina Barroso,20 May 1993,26,36,0,Spain Madrid CFF,Argentina
3,DF,Eliana Stábile,26 November 1993,25,13,2,Argentina Boca Juniors,Argentina
4,DF,Adriana Sachs,25 December 1993,25,24,0,Argentina UAI Urquiza,Argentina
5,MF,Vanesa Santana,3 September 1990,28,31,0,Spain Logroño,Argentina
6,DF,Aldana Cometti,3 March 1996,23,32,3,Spain Sevilla,Argentina
7,FW,Yael Oviedo,22 May 1992,27,24,2,Spain Rayo Vallecano,Argentina
8,MF,Ruth Bravo,6 March 1992,27,18,1,Spain Tacón,Argentina
9,FW,Sole Jaimes,20 January 1989,30,21,5,France Lyon,Argentina
10,FW,Estefanía Banini,21 June 1990,28,32,9,Spain Levante,Argentina
11,FW,Florencia Bonsegundo,14 July 1993,25,34,10,Spain Sporting Huelva,Argentina
12,GK,Gaby Garton,27 May 1990,29,2,0,Unattached,Argentina
13,DF,Virginia Gómez,26 February 1991,28,8,0,Argentina Rosario Central,Argentina
14,MF,Miriam Mayorga,20 November 1989,29,9,0,Argentina UAI Urquiza,Argentina
15,FW,Belén Potassa,12 December 1988,30,28,7,Argentina UAI Urquiza,Argentina
16,MF,Lorena Benítez,3 December 1998,20,2,0,Argentina Boca Juniors,Argentina
17,MF,Mariela Coronel,20 June 1981,37,34,2,Spain Granada,Argentina
18,DF,Gabriela Chávez,9 April 1989,30,18,0,Argentina River Plate,Argentina
19,DF,Mariana Larroquette,24 October 1992,26,36,8,Argentina UAI Urquiza,Argentina
20,MF,Dalila Ippólito,24 March 2002,17,1,0,Argentina River Plate,Argentina
21,DF,Natalie Juncos,28 December 1990,28,6,0,Unattached,Argentina
22,FW,Milagros Menéndez,23 March 1997,22,3,0,Argentina UAI Urquiza,Argentina
23,GK,Solana Pereyra,5 April 1999,20,0,0,Argentina UAI Urquiza,Argentina
1,GK,Karen Bardsley,14 October 1984,34,75,0,England Manchester City,England
2,DF,Lucy Bronze,28 October 1991,27,67,7,France Lyon,England
3,DF,Alex Greenwood,7 September 1993,25,36,2,England Manchester United,England
4,MF,Keira Walsh,8 April 1997,22,15,0,England Manchester City,England
5,DF,Steph Houghton,23 April 1988,31,105,12,England Manchester City,England
6,DF,Millie Bright,21 August 1993,25,26,0,England Chelsea,England
7,FW,Nikita Parris,10 March 1994,25,33,11,England Manchester City,England
8,MF,Jill Scott,2 February 1987,32,135,22,England Manchester City,England
9,FW,Jodie Taylor,17 May 1986,33,40,17,United States Reign FC,England
10,MF,Fran Kirby,29 June 1993,25,38,12,England Chelsea,England
11,FW,Toni Duggan,25 July 1991,27,72,22,Spain Barcelona,England
12,DF,Demi Stokes,12 December 1991,27,49,1,England Manchester City,England
13,GK,Carly Telford,7 July 1987,31,17,0,England Chelsea,England
14,DF,Leah Williamson,29 March 1997,22,6,0,England Arsenal,England
15,DF,Abbie McManus,14 January 1993,26,13,0,England Manchester City,England
16,MF,Jade Moore,22 October 1990,28,45,1,England Reading,England
17,DF,Rachel Daly,6 December 1991,27,21,3,United States Houston Dash,England
18,FW,Ellen White,9 May 1989,30,81,28,England Birmingham City,England
19,MF,Georgia Stanway,3 January 1999,20,7,1,England Manchester City,England
20,MF,Karen Carney,1 August 1987,31,139,32,England Chelsea,England
21,GK,Mary Earps,7 March 1993,26,5,0,Germany VfL Wolfsburg,England
22,FW,Beth Mead,9 May 1995,24,13,5,England Arsenal,England
23,MF,Lucy Staniforth,2 October 1992,26,9,2,England Birmingham City,England
1,GK,Sakiko Ikeda,8 September 1992,26,14,0,Japan Urawa Red Diamonds,Japan
2,MF,Rumi Utsugi,5 December 1988,30,113,6,United States Reign FC,Japan
3,DF,Aya Sameshima,16 June 1987,31,109,5,Japan INAC Kobe Leonessa,Japan
4,DF,Saki Kumagai,17 October 1990,28,104,0,France Lyon,Japan
5,DF,Nana Ichise,4 August 1997,21,16,0,Japan Vegalta Sendai,Japan
6,MF,Hina Sugita,31 January 1997,22,7,0,Japan INAC Kobe Leonessa,Japan
7,MF,Emi Nakajima,27 September 1990,28,70,14,Japan INAC Kobe Leonessa,Japan
8,FW,Mana Iwabuchi,18 March 1993,26,61,20,Japan INAC Kobe Leonessa,Japan
9,FW,Yuika Sugasawa,5 October 1990,28,63,18,Japan Urawa Red Diamonds,Japan
10,MF,Mizuho Sakaguchi,15 October 1987,31,124,29,Japan Nippon TV Beleza,Japan
