name,year,minutes,dob
Andi Tostanoski,2016,136.0,1994-08-29
Angela Salem,2021,1527.0,1988-07-24
Angela Salem,2021 Challenge Cup,246.0,1988-07-24
Angela Salem,2020 Fall Series,273.0,1988-07-24
Angela Salem,2020 Challenge Cup,336.0,1988-07-24
Angela Salem,2019,153.0,1988-07-24
Angela Salem,2018,163.0,1988-07-24
Angela Salem,2017,2117.0,1988-07-24
Angela Salem,2016,1700.0,1988-07-24
Angelina ,2022,405.0,2000-01-26
Angelina ,2022 Challenge Cup,313.0,2000-01-26
Angelina ,2021,474.0,2000-01-26
Angelina ,2021 Challenge Cup,147.0,2000-01-26
Angharad James,2022,355.0,1994-06-01
Angharad James,2022 Challenge Cup,305.0,1994-06-01
Angharad James,2021,588.0,1994-06-01
Anna Heilferty,2022,1486.0,1999-04-17
Anna Heilferty,2022 Challenge Cup,455.0,1999-04-17
Anna Heilferty,2021,770.0,1999-04-17
Anna Heilferty,2021 Challenge Cup,125.0,1999-04-17
Anna Moorhouse,2022,180.0,1995-03-30
Anna Moorhouse,2022 Challenge Cup,270.0,1995-03-30
Ari Romero,2020 Fall Series,5.0,1992-07-29
Ari Romero,2019,762.0,1992-07-29
Ariana Calderón,2019,130.0,1990-05-12
Arielle Ship,2020 Fall Series,68.0,1995-05-02
Arielle Ship,2020 Challenge Cup,95.0,1995-05-02
Arielle Ship,2019,322.0,1995-05-02
Arielle Ship,2018,41.0,1995-05-02
Arielle Ship,2017,688.0,1995-05-02
Arin Wright,2022,725.0,1992-12-25
Arin Wright,2022 Challenge Cup,481.0,1992-12-25
Arin Wright,2021,1778.0,1992-12-25
Arin Wright,2021 Challenge Cup,267.0,1992-12-25
Arin Wright,2020 Fall Series,33.0,1992-12-25
Arin Wright,2019,1505.0,1992-12-25
Arin Wright,2018,2130.0,1992-12-25
Arin Wright,2017,1765.0,1992-12-25
Arin Wright,2016,1838.0,1992-12-25
Ashleigh Sykes,2017,1115.0,1991-12-15
Ashley Hatch,2022,1473.0,1995-05-25
Ashley Hatch,2022 Challenge Cup,663.0,1995-05-25
Ashley Hatch,2021,1670.0,1995-05-25
Ashley Hatch,2021 Challenge Cup,326.0,1995-05-25
Ashley Hatch,2020 Fall Series,139.0,1995-05-25
Ashley Hatch,2020 Challenge Cup,381.0,1995-05-25
Ashley Hatch,2019,2096.0,1995-05-25
Ashley Hatch,2018,1927.0,1995-05-25
Ashley Hatch,2017,1355.0,1995-05-25
Ashley Herndon,2017,6.0,1994-08-09
Ashley Nick,2016,103.0,1987-10-27
Ashley Sanchez,2022,1483.0,1999-03-16
Ashley Sanchez,2022 Challenge Cup,710.0,1999-03-16
Ashley Sanchez,2021,1737.0,1999-03-16
Ashley Sanchez,2021 Challenge Cup,354.0,1999-03-16
Ashley Sanchez,2020 Fall Series,313.0,1999-03-16
Ashley Sanchez,2020 Challenge Cup,357.0,1999-03-16
Ashlyn Harris,2022,720.0,1985-10-19
Ashlyn Harris,2022 Challenge Cup,450.0,1985-10-19
Ashlyn Harris,2021,1237.0,1985-10-19
Ashlyn Harris,2021 Challenge Cup,360.0,1985-10-19
Ashlyn Harris,2020 Fall Series,270.0,1985-10-19
Ashlyn Harris,2019,1170.0,1985-10-19
Ashlyn Harris,2018,1890.0,1985-10-19
Ashlyn Harris,2017,1196.0,1985-10-19
Ashlyn Harris,2016,1350.0,1985-10-19
Aubrey Kingsbury,2022,1710.0,1991-11-20
Aubrey Kingsbury,2022 Challenge Cup,675.0,1991-11-20
Aubrey Kingsbury,2021,1950.0,1991-11-20
Aubrey Kingsbury,2021 Challenge Cup,360.0,1991-11-20
Aubrey Kingsbury,2020 Fall Series,360.0,1991-11-20
Aubrey Kingsbury,2020 Challenge Cup,450.0,1991-11-20
Aubrey Kingsbury,2019,2149.0,1991-11-20
Aubrey Kingsbury,2018,1890.0,1991-11-20
Aubrey Kingsbury,2017,990.0,1991-11-20
Aubrey Kingsbury,2016,90.0,1991-11-20
Audrey Harding,2022,324.0,1998-07-14
Audrey Harding,2022 Challenge Cup,1.0,1998-07-14
Autumn Smithers,2020 Challenge Cup,102.0,1994-11-04
Ava Cook,2022,950.0,2000-07-05
Ava Cook,2022 Challenge Cup,270.0,2000-07-05
Averie Ann Collins,2022,16.0,1997-03-03
Averie Ann Collins,2020 Fall Series,25.0,1997-03-03
Averie Ann Collins,2020 Challenge Cup,59.0,1997-03-03
Bayley Feist,2022,1227.0,1997-03-14
Bayley Feist,2022 Challenge Cup,101.0,1997-03-14
Bayley Feist,2020 Fall Series,360.0,1997-03-14
Bayley Feist,2020 Challenge Cup,341.0,1997-03-14
Bayley Feist,2019,470.0,1997-03-14
Becky Edwards,2016,806.0,1988-05-22
Becky Sauerbrunn,2022,1504.0,1985-06-06
Becky Sauerbrunn,2021,1145.0,1985-06-06
Becky Sauerbrunn,2021 Challenge Cup,270.0,1985-06-06
Becky Sauerbrunn,2020 Fall Series,232.0,1985-06-06
Becky Sauerbrunn,2020 Challenge Cup,90.0,1985-06-06
Becky Sauerbrunn,2019,1260.0,1985-06-06
Becky Sauerbrunn,2018,1720.0,1985-06-06
Becky Sauerbrunn,2017,1890.0,1985-06-06
Becky Sauerbrunn,2016,1260.0,1985-06-06
Bella Bixby,2022,1980.0,1995-11-20
Bella Bixby,2022 Challenge Cup,360.0,1995-11-20
Bella Bixby,2021,1350.0,1995-11-20
Bella Bixby,2020 Challenge Cup,360.0,1995-11-20
Belle Briede,2022,1361.0,1998-10-03
Belle Briede,2022 Challenge Cup,248.0,1998-10-03
Bethany Balcer,2022,1431.0,1997-03-07
Bethany Balcer,2022 Challenge Cup,496.0,1997-03-07
Bethany Balcer,2021,1099.0,1997-03-07
Bethany Balcer,2021 Challenge Cup,158.0,1997-03-07
Bethany Balcer,2020 Fall Series,341.0,1997-03-07
Bethany Balcer,2020 Challenge Cup,183.0,1997-03-07
Bethany Balcer,2019,1763.0,1997-03-07
Betsy Brandon,2019,1.0,1996-09-27
Beverly Yanez,2019,1866.0,1988-07-19
Beverly Yanez,2018,1177.0,1988-07-19
Beverly Yanez,2017,1264.0,1988-07-19
Beverly Yanez,2016,1543.0,1988-07-19
Bianca Henninger,2016,450.0,1990-10-22
Bianca St-Georges,2022,984.0,1997-07-28
Bianca St-Georges,2022 Challenge Cup,350.0,1997-07-28
Bianca St-Georges,2021,96.0,1997-07-28
Bianca St-Georges,2020 Fall Series,270.0,1997-07-28
Bianca St-Georges,2020 Challenge Cup,356.0,1997-07-28
Bri Visalli,2022,461.0,1995-04-17
Bri Visalli,2022 Challenge Cup,104.0,1995-04-17
Bri Visalli,2021,591.0,1995-04-17
Bri Visalli,2021 Challenge Cup,252.0,1995-04-17
Bri Visalli,2020 Fall Series,209.0,1995-04-17
Bri Visalli,2020 Challenge Cup,333.0,1995-04-17
Brianna Pinto,2022,1453.0,2000-05-24
Brianna Pinto,2022 Challenge Cup,347.0,2000-05-24
Brianna Pinto,2021,167.0,2000-05-24
Brianne Reed,2016,441.0,1994-02-05
Bridget Callahan,2019,496.0,1996-04-16
Bridget Callahan,2018,1.0,1996-04-16
Bridgette Andrzejewski,2020 Fall Series,58.0,1997-01-27
Britt Eckerstrom,2020 Fall Series,360.0,1993-05-28
Britt Eckerstrom,2020 Challenge Cup,180.0,1993-05-28
Britt Eckerstrom,2019,900.0,1993-05-28
Britt Eckerstrom,2018,900.0,1993-05-28
Britt Eckerstrom,2016,270.0,1993-05-28
Brittany Isenhour,2020 Fall Series,90.0,1997-09-22
Brittany Ratcliffe,2022,331.0,1994-02-07
Brittany Ratcliffe,2021,165.0,1994-02-07
Brittany Ratcliffe,2021 Challenge Cup,63.0,1994-02-07
Brittany Ratcliffe,2020 Fall Series,324.0,1994-02-07
Brittany Ratcliffe,2020 Challenge Cup,325.0,1994-02-07
Brittany Ratcliffe,2018,366.0,1994-02-07
Brittany Ratcliffe,2017,1087.0,1994-02-07
Brittany Ratcliffe,2016,546.0,1994-02-07
Brittany Taylor,2017,1890.0,1988-09-18
Brittany Taylor,2016,1800.0,1988-09-18
Brooke Elby,2019,325.0,1993-05-24
Brooke Elby,2018,846.0,1993-05-24
Brooke Elby,2017,848.0,1993-05-24
Brooke Elby,2016,917.0,1993-05-24
Brooke Hendrix,2021,283.0,1993-05-06
Brooke Hendrix,2021 Challenge Cup,360.0,1993-05-06
Brooke Hendrix,2020 Fall Series,86.0,1993-05-06
Brooke Hendrix,2020 Challenge Cup,13.0,1993-05-06
Bruna Benites,2017,751.0,1985-10-16
Bruninha  ,2022,25.0,2002-06-16
Caitlin Farrell,2019,15.0,1987-10-31
Caitlin Foord,2019,845.0,1994-11-11
Caitlin Foord,2018,456.0,1994-11-11
Caity Heap,2017,328.0,1994-08-10
Caity Heap,2016,127.0,1994-08-10
Cali Jean Farquharson,2022,62.0,1993-12-17
Cali Jean Farquharson,2019,541.0,1993-12-17
Cali Jean Farquharson,2018,152.0,1993-12-17
Cali Jean Farquharson,2017,352.0,1993-12-17
Cali Jean Farquharson,2016,559.0,1993-12-17
Cameron Castleberry,2017,26.0,1995-03-14
Cameron Tucker,2022,225.0,1999-07-15
Cameron Tucker,2022 Challenge Cup,118.0,1999-07-15
Cami Privett,2020 Challenge Cup,45.0,1993-03-16
Cami Privett,2019,17.0,1993-03-16
Cami Privett,2017,750.0,1993-03-16
Cami Privett,2016,1056.0,1993-03-16
Camille Levin,2017,1890.0,1990-04-24
Camille Levin,2016,836.0,1990-04-24
Camryn Biegalski,2022,1257.0,1998-08-11
Camryn Biegalski,2022 Challenge Cup,438.0,1998-08-11
Camryn Biegalski,2021,142.0,1998-08-11
Camryn Biegalski,2021 Challenge Cup,47.0,1998-08-11
Camryn Biegalski,2020 Fall Series,181.0,1998-08-11
Caprice Dydasco,2022,1447.0,1993-08-19
Caprice Dydasco,2022 Challenge Cup,509.0,1993-08-19
Caprice Dydasco,2021,2073.0,1993-08-19
Caprice Dydasco,2021 Challenge Cup,372.0,1993-08-19
Caprice Dydasco,2019,2028.0,1993-08-19
Caprice Dydasco,2018,1948.0,1993-08-19
Caprice Dydasco,2017,1118.0,1993-08-19
Caprice Dydasco,2016,1222.0,1993-08-19
Cara Walls,2016,767.0,1993-06-16
Cari Roccaro,2022,1646.0,1994-07-18
Cari Roccaro,2022 Challenge Cup,503.0,1994-07-18
Cari Roccaro,2021,911.0,1994-07-18
Cari Roccaro,2021 Challenge Cup,171.0,1994-07-18
Cari Roccaro,2020 Fall Series,353.0,1994-07-18
Cari Roccaro,2020 Challenge Cup,78.0,1994-07-18
Cari Roccaro,2019,920.0,1994-07-18
Cari Roccaro,2018,172.0,1994-07-18
Cari Roccaro,2017,1410.0,1994-07-18
Cari Roccaro,2016,1267.0,1994-07-18
Carli Lloyd,2021,1330.0,1982-07-16
Carli Lloyd,2021 Challenge Cup,360.0,1982-07-16
Carli Lloyd,2019,1260.0,1982-07-16
Carli Lloyd,2018,1563.0,1982-07-16
Carli Lloyd,2017,647.0,1982-07-16
Carli Lloyd,2016,553.0,1982-07-16
Carlin Hudson,2019,50.0,1996-11-01
Carly Telford,2022,360.0,1987-07-07
Carly Telford,2022 Challenge Cup,180.0,1987-07-07
Caroline Casey,2018,90.0,1994-05-27
Caroline Casey,2017,180.0,1994-05-27
Caroline Casey,2016,860.0,1994-05-27
Caroline Flynn,2017,149.0,1994-02-28
Caroline Kastor,2016,296.0,1991-10-12
Caroline Stanley,2017,64.0,1993-03-16
Caroline Stanley,2016,940.0,1993-03-16
Carrie Lawrence,2022,1114.0,1997-07-15
Carrie Lawrence,2022 Challenge Cup,229.0,1997-07-15
Carrie Lawrence,2020 Fall Series,233.0,1997-07-15
Carson Pickett,2022,1731.0,1993-09-15
Carson Pickett,2022 Challenge Cup,566.0,1993-09-15
Carson Pickett,2021,1817.0,1993-09-15
Carson Pickett,2021 Challenge Cup,352.0,1993-09-15
Carson Pickett,2019,1688.0,1993-09-15
Carson Pickett,2018,1381.0,1993-09-15
Carson Pickett,2017,1779.0,1993-09-15
Carson Pickett,2016,841.0,1993-09-15
Casey Krueger,2021,1440.0,1990-08-23
Casey Krueger,2021 Challenge Cup,360.0,1990-08-23
Casey Krueger,2020 Fall Series,54.0,1990-08-23
Casey Krueger,2020 Challenge Cup,270.0,1990-08-23
Casey Krueger,2019,2235.0,1990-08-23
Casey Krueger,2018,744.0,1990-08-23
Casey Krueger,2017,1914.0,1990-08-23
Casey Krueger,2016,1901.0,1990-08-23
Casey Murphy,2022,1620.0,1996-04-25
Casey Murphy,2021,1830.0,1996-04-25
Casey Murphy,2021 Challenge Cup,180.0,1996-04-25
Casey Murphy,2020 Fall Series,270.0,1996-04-25
Casey Murphy,2020 Challenge Cup,180.0,1996-04-25
Casey Murphy,2019,1830.0,1996-04-25
Cassie Miller,2022,180.0,1995-04-28
Cassie Miller,2022 Challenge Cup,180.0,1995-04-28
Cassie Miller,2021,1560.0,1995-04-28
Cassie Miller,2021 Challenge Cup,180.0,1995-04-28
Cassie Miller,2020 Challenge Cup,45.0,1995-04-28
Cassie Rohan,2020 Challenge Cup,45.0,1998-02-28
Catherine Zimmerman,2016,258.0,1995-01-15
Cece Kizer,2022,1853.0,1997-08-07
Cece Kizer,2022 Challenge Cup,375.0,1997-08-07
Cece Kizer,2021,1541.0,1997-08-07
Cece Kizer,2021 Challenge Cup,347.0,1997-08-07
Cece Kizer,2020 Challenge Cup,93.0,1997-08-07
Cece Kizer,2019,364.0,1997-08-07
Celeste Boureille,2021,456.0,1994-04-20
Celeste Boureille,2021 Challenge Cup,201.0,1994-04-20
Celeste Boureille,2020 Challenge Cup,310.0,1994-04-20
Celeste Boureille,2019,650.0,1994-04-20
Celeste Boureille,2018,1766.0,1994-04-20
Celeste Boureille,2017,1181.0,1994-04-20
Celeste Boureille,2016,466.0,1994-04-20
Channing Foster,2022,1.0,1998-12-25
Channing Foster,2022 Challenge Cup,21.0,1998-12-25
Chardonnay Curran,2022,368.0,1999-08-18
Chardonnay Curran,2022 Challenge Cup,266.0,1999-08-18
Chelsie Dawber,2022,84.0,2000-01-12
Cheyna Lee Matthews,2021,336.0,1993-11-10
Cheyna Lee Matthews,2019,905.0,1993-11-10
Cheyna Lee Matthews,2017,1257.0,1993-11-10
Cheyna Lee Matthews,2016,780.0,1993-11-10
Chinyelu Asher,2021,72.0,1993-05-20
Chinyelu Asher,2021 Challenge Cup,2.0,1993-05-20
Chioma Ubogagu,2019,1311.0,1992-09-10
Chioma Ubogagu,2018,1340.0,1992-09-10
Chioma Ubogagu,2017,1418.0,1992-09-10
Chioma Ubogagu,2016,805.0,1992-09-10
Chloe Logarzo,2021,172.0,1994-12-22
Chloe Logarzo,2021 Challenge Cup,120.0,1994-12-22
Chloe Logarzo,2019,796.0,1994-12-22
Christen Press,2022,686.0,1988-12-29
Christen Press,2022 Challenge Cup,418.0,1988-12-29
Christen Press,2019,1255.0,1988-12-29
Christen Press,2018,975.0,1988-12-29
Christen Press,2017,1997.0,1988-12-29
Christen Press,2016,1380.0,1988-12-29
Christen Westphal,2022,1987.0,1993-09-02
Christen Westphal,2022 Challenge Cup,540.0,1993-09-02
Christen Westphal,2021,713.0,1993-09-02
Christen Westphal,2021 Challenge Cup,227.0,1993-09-02
Christen Westphal,2020 Fall Series,274.0,1993-09-02
Christen Westphal,2020 Challenge Cup,405.0,1993-09-02
Christen Westphal,2019,138.0,1993-09-02
Christen Westphal,2018,694.0,1993-09-02
Christen Westphal,2017,1129.0,1993-09-02
Christen Westphal,2016,580.0,1993-09-02
Christie Pearce,2017,1440.0,1975-06-24
Christie Pearce,2016,1800.0,1975-06-24
Christina Burkenroad,2017,8.0,1993-07-12
Christina Burkenroad,2016,252.0,1993-07-12
Christina Gibbons,2018,1430.0,1994-12-30
Christina Gibbons,2017,1993.0,1994-12-30
Christine Nairn,2021,37.0,1990-09-25
Christine Nairn,2020 Fall Series,111.0,1990-09-25
Christine Nairn,2020 Challenge Cup,113.0,1990-09-25
Christine Nairn,2019,1663.0,1990-09-25
