player,team,group_1,group_2,group_3,round_of_16,quarterfinals,semifinals,finals
Stine Hovland,Norway,0,0,0,0,0,,
Synne Hansen,Norway,0,5,0,19,6,,
Elise Thorsnes,Norway,11,0,22,0,0,,
Therese Åsland,Norway,0,0,0,0,0,,
Amalie Eikeland,Norway,0,0,0,0,17,,
Frida Maanum,Norway,7,1,37,49,0,,
Cecilie Kvamme,Norway,0,0,0,0,0,,
Emilie Haavi,Norway,1,0,0,0,0,,
Karina Sævik,Norway,0,75,45,71,63,,
Emilie Nautnes,Norway,0,0,0,0,0,,
Tochukwu Oluehi,Nigeria,90,0,0,0,,,
Osinachi Ohale,Nigeria,90,90,90,90,,,
Ngozi Ebere,Nigeria,90,90,74,0,,,
Onome Ebi,Nigeria,90,90,90,90,,,
Asisat Oshoala,Nigeria,90,82,84,0,,,
Desire Oparanozie,Nigeria,70,90,89,90,,,
Rita Chikwelu,Nigeria,90,90,90,0,,,
Ngozi Okobi,Nigeria,90,90,90,90,,,
Faith Ikidi,Nigeria,53,0,0,0,,,
Francisca Ordega,Nigeria,90,79,84,90,,,
Halimatu Ayinde,Nigeria,50,26,90,90,,,
Chiamaka Nnadozie,Nigeria,0,90,90,90,,,
Alaba Jonathan,Nigeria,0,0,0,0,,,
Grace Okoronkwo,Nigeria,0,0,0,0,,,
Evelyn Nwabuoku,Nigeria,0,0,6,45,,,
Anam Imo,Nigeria,0,11,6,0,,,
Chinaza Uchendu,Nigeria,40,64,0,16,,,
Uchenna Kanu,Nigeria,20,8,1,83,,,
Rasheedat Ajibade,Nigeria,0,0,0,45,,,
Chinwendu Ihezuo,Nigeria,0,0,0,74,,,
Chidinma Okeke,Nigeria,37,90,90,90,,,
Alice Ogebe,Nigeria,0,0,0,7,,,
Ogonna Chukwudi,Nigeria,0,0,0,0,,,
Lydia Williams,Australia,90,90,90,120,,,
Clare Polkinghorne,Australia,90,0,0,27,,,
Chloe Logarzo,Australia,60,90,90,120,,,
Steph Catley,Australia,90,90,90,120,,,
Caitlin Foord,Australia,90,89,32,120,,,
Emily van Egmond,Australia,90,90,90,115,,,
Tameka Yallop,Australia,82,90,0,120,,,
Alanna Kennedy,Australia,90,90,90,103,,,
Hayley Raso,Australia,68,19,28,73,,,
Sam Kerr,Australia,90,90,90,120,,,
Ellie Carpenter,Australia,90,90,90,119,,,
Teagan Micah,Australia,0,0,0,0,,,
Mackenzie Arnold,Australia,0,0,0,0,,,
Gema Simon,Australia,0,0,0,0,,,
Aivi Luik,Australia,0,0,4,0,,,
Karly Roestbakken,Australia,0,1,90,5,,,
Elise Kellond-Knight,Australia,8,90,0,93,,,
Lisa De Vanna,Australia,30,0,62,0,,,
Emily Gielnik,Australia,0,71,58,47,,,
Katrina Gorry,Australia,22,0,86,0,,,
Amy Harrison,Australia,0,0,0,1,,,
Teigen Allen,Australia,0,0,0,0,,,
Laura Giuliani,Italy,90,90,90,90,90,,
Valentina Bergamaschi,Italy,76,64,28,62,74,,
Sara Gama,Italy,90,90,90,90,90,,
Aurora Galli,Italy,45,26,90,52,90,,
Elena Linari,Italy,90,90,90,90,90,,
Alia Guagni,Italy,90,56,90,90,90,,
Cristiana Girelli,Italy,90,71,77,38,0,,
Barbara Bonansea,Italy,90,90,90,70,54,,
Ilaria Mauro,Italy,57,0,13,28,0,,
Valentina Cernoia,Italy,90,90,90,90,90,,
Manuela Giugliano,Italy,90,90,90,90,90,,
Chiara Marchitelli,Italy,0,0,0,0,0,,
Rosalia Pipitone,Italy,0,0,0,0,0,,
Martina Rosucci,Italy,0,0,0,20,0,,
Alice Parisi,Italy,0,0,0,0,0,,
Daniela Sabatino,Italy,33,90,0,0,36,,
Elisa Bartoli,Italy,45,90,70,90,45,,
Stefania Tarenzi,Italy,0,0,0,0,0,,
Annamaria Serturini,Italy,0,0,0,0,16,,
Laura Fusetti,Italy,0,0,0,0,0,,
Lisa Boattin,Italy,0,34,20,0,45,,
Valentina Giacinti,Italy,14,19,62,90,90,,
Linda Tucceri Cimini,Italy,0,0,0,0,0,,
Bárbara,Brazil,90,90,90,120,,,
Thaisa,Brazil,90,90,90,120,,,
Tamires,Brazil,90,90,90,120,,,
Andressa,Brazil,90,90,0,0,,,
Formiga,Brazil,90,45,0,74,,,
Debinha,Brazil,90,90,90,120,,,
Cristiane,Brazil,64,74,64,95,,,
Letícia Santos,Brazil,90,90,75,88,,,
Kathellen,Brazil,75,90,90,120,,,
Beatriz,Brazil,64,16,26,50,,,
Mônica,Brazil,90,90,90,120,,,
Aline,Brazil,0,0,0,0,,,
Letícia Izidoro,Brazil,0,0,0,0,,,
Poliana,Brazil,0,0,15,32,,,
Daiane,Brazil,15,0,0,0,,,
Tayla,Brazil,0,0,0,0,,,
Marta,Brazil,0,45,83,120,,,
Camila,Brazil,0,0,0,0,,,
Andressinha,Brazil,0,0,90,46,,,
Luana,Brazil,0,45,7,0,,,
Ludmila,Brazil,26,45,90,70,,,
Raquel,Brazil,0,0,0,0,,,
Geyse,Brazil,26,0,0,25,,,
Sydney Schneider,Jamaica,90,90,0,,,,
Chantelle Swaby,Jamaica,90,45,90,,,,
Konya Plummer,Jamaica,90,90,90,,,,
Havana Solaun,Jamaica,71,90,45,,,,
Marlo Sweatman,Jamaica,90,45,0,,,,
Khadija Shaw,Jamaica,90,90,90,,,,
Deneisha Blackwood,Jamaica,90,90,90,,,,
Dominique Bond-Flasza,Jamaica,90,0,0,,,,
Allyson Swaby,Jamaica,90,90,90,,,,
Trudi Carter,Jamaica,78,0,32,,,,
Cheyna Matthews,Jamaica,61,0,58,,,,
Nicole McClure,Jamaica,0,0,90,,,,
Yazmeen Jamieson,Jamaica,0,0,0,,,,
Lauren Silver,Jamaica,0,15,0,,,,
Chanel Hudson-Marks,Jamaica,0,0,0,,,,
Chinyelu Asher,Jamaica,19,90,0,,,,
Ashleigh Shim,Jamaica,0,0,0,,,,
Jody Brown,Jamaica,29,25,19,,,,
Sashana Campbell,Jamaica,0,90,90,,,,
Tiffany Cameron,Jamaica,12,0,45,,,,
Toriana Patterson,Jamaica,0,0,90,,,,
Sade Adamolekun,Jamaica,0,75,0,,,,
Mireya Grey,Jamaica,0,65,71,,,,
Karen Bardsley,England,90,0,90,90,90,0,0
Lucy Bronze,England,90,90,90,90,90,90,90
Alex Greenwood,England,90,90,0,90,0,0,90
Keira Walsh,England,90,0,71,90,90,70,0
Steph Houghton,England,90,90,90,90,90,90,90
Millie Bright,England,54,0,90,90,90,85,0
Nikita Parris,England,90,86,8,83,87,90,73
Jill Scott,England,90,90,90,77,90,90,90
Fran Kirby,England,81,88,0,90,73,33,90
Ellen White,England,90,0,90,63,90,90,90
Beth Mead,England,70,80,0,0,37,57,49
Carly Telford,England,0,90,0,0,0,90,90
Mary Earps,England,0,0,0,0,0,0,0
Jodie Taylor,England,0,90,0,27,0,0,41
Leah Williamson,England,0,0,0,7,0,0,0
Abbie McManus,England,36,90,0,0,0,0,82
Jade Moore,England,0,90,19,0,0,20,90
Rachel Daly,England,0,4,90,0,3,88,8
Georgia Stanway,England,9,10,73,0,17,2,0
Karen Carney,England,20,2,17,0,0,0,17
Lucy Staniforth,England,0,0,0,13,0,0,0
Lee Alexander,Scotland,90,90,90,,,,
Nicola Docherty,Scotland,54,0,90,,,,
Rachel Corsie,Scotland,90,90,90,,,,
Jennifer Beattie,Scotland,90,90,90,,,,
Kim Little,Scotland,90,90,90,,,,
Caroline Weir,Scotland,90,90,90,,,,
Lisa Evans,Scotland,90,84,85,,,,
Sophie Howard,Scotland,74,0,5,,,,
Christie Murray,Scotland,86,0,0,,,,
Claire Emslie,Scotland,90,31,90,,,,
Erin Cuthbert,Scotland,90,90,90,,,,
Shannon Lynn,Scotland,0,0,0,,,,
Jenna Fife,Scotland,0,0,0,,,,
Kirsty Smith,Scotland,36,90,85,,,,
Joanne Love,Scotland,0,0,0,,,,
Hayley Lauder,Scotland,0,90,0,,,,
Leanne Crichton,Scotland,0,0,90,,,,
Jane Ross,Scotland,0,75,0,,,,
Chloe Arthur,Scotland,16,0,0,,,,
Joelle Murray,Scotland,0,0,0,,,,
Lana Clelland,Scotland,0,15,0,,,,
Fiona Brown,Scotland,0,6,5,,,,
Lizzie Arnot,Scotland,4,59,0,,,,
Vanina Correa,Argentina,90,90,90,,,,
Agustina Barroso,Argentina,90,90,90,,,,
Eliana Stábile,Argentina,90,90,90,,,,
Aldana Cometti,Argentina,90,90,90,,,,
Ruth Bravo,Argentina,63,90,90,,,,
Florencia Soledad Jaimes,Argentina,90,89,69,,,,
Estefanía Banini,Argentina,90,67,59,,,,
Florencia Bonsegundo,Argentina,76,90,90,,,,
Virginia Gómez,Argentina,90,0,0,,,,
Miriam Mayorga,Argentina,90,90,9,,,,
Lorena Benítez,Argentina,78,76,90,,,,
Gabriela Garton,Argentina,0,0,0,,,,
Solana Pereyra,Argentina,0,0,0,,,,
Adriana Sachs,Argentina,0,90,0,,,,
Vanesa Santana,Argentina,27,14,81,,,,
Yael Oviedo,Argentina,0,1,0,,,,
María Belén Potassa,Argentina,0,0,0,,,,
Mariela Coronel,Argentina,12,0,0,,,,
Gabriela Chávez,Argentina,0,0,0,,,,
Mariana Larroquette,Argentina,14,23,90,,,,
Dalila Ippólito,Argentina,0,0,21,,,,
Natalie Juncos,Argentina,0,0,0,,,,
Milagros Menéndez,Argentina,0,0,31,,,,
Ayaka Yamashita,Japan,90,90,90,90,,,
Aya Sameshima,Japan,90,90,90,90,,,
Saki Kumagai,Japan,90,90,90,90,,,
Hina Sugita,Japan,90,90,90,90,,,
Emi Nakajima,Japan,73,90,90,71,,,
Yuika Sugasawa,Japan,89,90,30,90,,,
Moeka Minami,Japan,90,0,0,0,,,
Yui Hasegawa,Japan,90,9,0,90,,,
Narumi Miura,Japan,90,90,29,90,,,
Kumi Yokoyama,Japan,56,0,60,0,,,
Risa Shimizu,Japan,90,90,90,90,,,
Sakiko Ikeda,Japan,0,0,0,0,,,
Chika Hirao,Japan,0,0,0,0,,,
Rumi Utsugi,Japan,0,0,0,0,,,
Nana Ichise,Japan,0,90,90,90,,,
Mana Iwabuchi,Japan,34,81,90,89,,,
Mizuho Sakaguchi,Japan,0,0,0,0,,,
Rikako Kobayashi,Japan,0,25,61,0,,,
Saori Takarada,Japan,1,0,6,1,,,
Yuka Momiki,Japan,0,0,0,19,,,
Asato Miyagawa,Japan,0,0,0,0,,,
Jun Endō,Japan,17,65,84,0,,,
Shiori Miyake,Japan,0,0,0,0,,,
Stephanie Labbé,Canada,90,90,90,90,,,
Allysha Chapman,Canada,90,16,68,83,,,
Kadeisha Buchanan,Canada,90,90,90,90,,,
Shelina Zadorsky,Canada,90,90,90,90,,,
Ashley Lawrence,Canada,90,90,90,90,,,
Desiree Scott,Canada,90,90,78,90,,,
Christine Sinclair,Canada,90,90,68,90,,,
Sophie Schmidt,Canada,90,90,90,90,,,
Nichelle Prince,Canada,74,83,0,63,,,
Janine Beckie,Canada,90,82,90,83,,,
Jessie Fleming,Canada,90,90,90,90,,,
Kailen Sheridan,Canada,0,0,0,0,,,
Sabrina D'Angelo,Canada,0,0,0,0,,,
Quinn,Canada,0,8,12,7,,,
Deanne Rose,Canada,16,0,0,0,,,
Julia Grosso,Canada,0,0,0,0,,,
Jayde Riviere,Canada,0,74,22,7,,,
Jordyn Huitema,Canada,0,0,90,0,,,
Gabrielle Carle,Canada,0,0,0,0,,,
Adriana Leon,Canada,0,7,22,27,,,
Shannon Woeller,Canada,0,0,0,0,,,
Lindsay Agnew,Canada,0,0,0,0,,,
Jenna Hellstrom,Canada,0,0,0,0,,,
Annette Ngo Ndom,Cameroon,90,90,90,90,,,
Christine Manie,Cameroon,90,90,0,0,,,
Ajara Nchout,Cameroon,66,31,90,90,,,
Yvonne Leuko,Cameroon,90,90,90,90,,,
Estelle Johnson,Cameroon,90,90,90,90,,,
Gabrielle Onguene,Cameroon,90,90,90,90,,,
Raissa Feudjio,Cameroon,90,90,90,90,,,
Jeannette Yango,Cameroon,81,90,83,90,,,
Aurelle Awona,Cameroon,90,0,90,90,,,
Claudine Meffometou,Cameroon,90,90,0,0,,,
Marlyse Bernadett Ngo Ndoumbouk,Cameroon,67,0,0,0,,,
Isabelle Mambingo,Cameroon,0,0,0,0,,,
Marthe Ongmahan,Cameroon,0,0,0,0,,,
Augustine Ejangue,Cameroon,0,0,90,63,,,
Madeleine Ngono Mani,Cameroon,0,0,0,0,,,
Charlène Meyong,Cameroon,9,25,0,0,,,
Ninon Abena,Cameroon,0,0,7,23,,,
Ysis Sonkeng,Cameroon,0,0,0,27,,,
Gaëlle Enganamouit,Cameroon,23,74,53,52,,,
Henriette Akaba,Cameroon,24,16,0,0,,,
Genevieve Ngo,Cameroon,0,65,0,0,,,
Alexandra Takounda,Cameroon,0,0,37,38,,,
Michaela Abam,Cameroon,0,59,90,67,,,
Erin Nayler,New Zealand,90,90,90,,,,
Ria Percival,New Zealand,90,90,90,,,,
CJ Bott,New Zealand,90,17,0,,,,
Rebekah Stott,New Zealand,90,90,90,,,,
Ali Riley,New Zealand,90,90,90,,,,
Abby Erceg,New Zealand,90,90,90,,,,
Sarah Gregorius,New Zealand,73,61,90,,,,
Betsy Hassett,New Zealand,66,84,23,,,,
Rosie White,New Zealand,73,90,90,,,,
Katie Bowen,New Zealand,90,90,90,,,,
Olivia Chance,New Zealand,90,90,87,,,,
Victoria Esson,New Zealand,0,0,0,,,,
Nadia Olla,New Zealand,0,0,0,,,,
Anna Green,New Zealand,0,29,67,,,,
Nicole Stratford,New Zealand,0,0,0,,,,
Emma Kete,New Zealand,0,6,0,,,,
Annalie Longo,New Zealand,24,73,3,,,,
Sarah Morton,New Zealand,0,0,0,,,,
Katie Duncan,New Zealand,0,0,67,,,,
Hannah Wilkinson,New Zealand,17,0,23,,,,
Stephanie Skilton,New Zealand,0,0,0,,,,
Paige Satchell,New Zealand,17,0,0,,,,
Daisy Cleverley,New Zealand,0,0,0,,,,
Sari van Veenendaal,Netherlands,90,90,90,90,90,120,90
Desiree van Lunteren,Netherlands,90,90,90,90,90,120,90
Stefanie van der Gragt,Netherlands,90,0,0,90,86,120,90
Kika van Es,Netherlands,70,85,0,6,0,0,0
Shanice van de Sanden,Netherlands,86,65,90,67,55,50,18
Sherida Spitse,Netherlands,90,90,69,90,90,120,90
Vivianne Miedema,Netherlands,90,90,90,90,86,120,90
Daniëlle van de Donk,Netherlands,90,70,86,86,90,120,90
Lieke Martens,Netherlands,90,90,69,90,90,45,69
Jackie Groenen,Netherlands,75,90,90,90,90,120,90
Dominique Janssen,Netherlands,90,90,90,90,90,120,90
Lize Kop,Netherlands,0,0,0,0,0,0,0
Loes Geurts,Netherlands,0,0,0,0,0,0,0
Merel van Dongen,Netherlands,20,5,90,84,90,120,0
Victoria Pelova,Netherlands,0,0,0,0,0,0,0
Renate Jansen,Netherlands,0,0,4,0,0,0,0
Inessa Kaagman,Netherlands,0,0,0,0,0,0,0
Ellen Jansen,Netherlands,0,0,0,0,0,0,0
Danique Kerkdijk,Netherlands,0,0,0,0,0,0,0
Jill Roord,Netherlands,15,20,21,4,4,75,21
Lineth Beerensteyn,Netherlands,4,25,21,23,35,70,90
Liza van der Most,Netherlands,0,0,0,0,0,0,0
Christiane Endler,Chile,90,90,90,,,,
Carla Guerrero,Chile,90,90,90,,,,
Francisca Lara,Chile,90,88,90,,,,
Karen Araya,Chile,90,90,45,,,,
María José Urrutia,Chile,58,67,90,,,,
Yanara Aedo,Chile,83,0,90,,,,
Su Helen Galaz,Chile,90,90,0,,,,
Javiera Toro,Chile,90,90,0,,,,
Camila Sáez,Chile,90,90,90,,,,
Daniela Zamora,Chile,90,90,90,,,,
Rosario Balmaceda,Chile,90,90,90,,,,
Natalia Campos,Chile,0,0,0,,,,
Ryann Torrero,Chile,0,0,0,,,,
Rocio Soto,Chile,7,0,90,,,,
Valentina Díaz,Chile,0,0,0,,,,
Claudia Soto,Chile,0,45,0,,,,
María José Rojas,Chile,0,0,4,,,,
Yessenia López,Chile,32,45,90,,,,
Javiera Grez,Chile,0,0,41,,,,
Daniela Pardo,Chile,0,2,0,,,,
Fernanda Pinilla,Chile,0,0,0,,,,
Yessenia Huenteo,Chile,0,23,0,,,,
Elisa Durán,Chile,0,0,0,,,,
Hedvig Lindahl,Sweden,90,90,90,90,90,120,90
Linda Sembrant,Sweden,90,90,90,90,90,120,90
Hanna Glas,Sweden,90,90,27,90,90,120,90
Nilla Fischer,Sweden,90,90,0,90,65,120,90
Magdalena Eriksson,Sweden,90,90,0,90,90,110,90
Kosovare Asllani,Sweden,90,90,78,90,90,120,45
Sofia Jakobsson,Sweden,90,0,90,90,90,120,90
Stina Blackstenius,Sweden,64,0,90,89,90,110,90
Caroline Seger,Sweden,90,68,63,90,90,120,90
Fridolina Rolfö,Sweden,64,45,34,88,89,0,26
Elin Rubensson,Sweden,80,90,0,78,85,78,0
Jennifer Falk,Sweden,0,0,0,0,0,0,0
Zećira Mušović,Sweden,0,0,0,0,0,0,0
Jonna Andersson,Sweden,0,0,90,0,0,10,0
Madelen Janogy,Sweden,10,45,0,0,0,42,0
Lina Hurtig,Sweden,26,90,12,2,1,78,64
Amanda Ilestedt,Sweden,0,0,90,0,25,0,19
Julia Roddar,Sweden,0,0,0,0,0,0,0
Nathalie Björn,Sweden,0,0,90,12,5,0,71
Julia Zigiotti Olme,Sweden,0,0,90,0,0,42,45
Anna Anvegard,Sweden,26,76,0,1,0,0,0
Mimmi Larsson,Sweden,0,14,0,0,0,10,0
Olivia Schough,Sweden,0,22,56,0,0,0,0
Alyssa Naeher,United States,90,90,90,90,90,90,90
Sam Mewis,United States,90,0,90,90,81,26,90
Kelley O'Hara,United States,90,0,90,90,90,86,45
Abby Dahlkemper,United States,90,81,90,90,90,90,90
Julie Ertz,United States,68,45,0,90,90,90,90
Lindsey Horan,United States,90,58,90,2,28,90,0
Alex Morgan,United States,90,0,45,84,90,90,90
Megan Rapinoe,United States,90,0,82,89,86,0,78
Rose Lavelle,United States,56,0,62,88,62,64,90
Tobin Heath,United States,56,0,90,90,90,79,86
Crystal Dunn,United States,90,0,90,90,90,90,90
Ashlyn Harris,United States,0,0,0,0,0,0,0
Adrianna Franch,United States,0,0,0,0,0,0,0
Mallory Swanson,United States,22,90,8,0,0,0,0
Becky Sauerbrunn,United States,0,90,90,90,90,90,90
Morgan Gautrat,United States,0,90,0,0,0,0,0
Carli Lloyd,United States,34,90,45,6,9,11,4
Ali Krieger,United States,0,90,0,0,0,4,45
Tierna Davidson,United States,0,90,0,0,0,0,0
Emily Sonnett,United States,0,9,0,0,0,0,0
Allie Long,United States,0,32,0,0,0,0,0
Jessica McDonald,United States,0,45,0,0,0,0,0
Christen Press,United States,34,90,28,1,4,90,12
Sukanya Chor Charoenying,Thailand,90,0,0,,,,
Kanjanaporn Saengkoon,Thailand,90,0,1,,,,
Natthakarn Chinwong,Thailand,90,90,90,,,,
Ainon Phancha,Thailand,90,90,90,,,,
Silawan Intamee,Thailand,90,88,72,,,,
Miranda Nild,Thailand,90,90,90,,,,
Warunee Phetwiset,Thailand,70,0,89,,,,
Sunisa Srangthaisong,Thailand,90,90,90,,,,
Rattikan Thongsombut,Thailand,64,55,57,,,,
Wilaiporn Boothduang,Thailand,34,0,0,,,,
Kanjana Sungngoen,Thailand,90,90,90,,,,
Waraporn Boonsing,Thailand,0,90,90,,,,
Tiffany Sornpao,Thailand,0,0,0,,,,
Duangnapa Sritala,Thailand,0,0,0,,,,
Pikul Khueanpet,Thailand,56,90,90,,,,
Sudarat Chuchuen,Thailand,0,2,18,,,,
Orathai Srimanee,Thailand,20,25,0,,,,
Saowalak Pengngam,Thailand,0,0,0,,,,
Olapin Waenngoen,Thailand,0,10,33,,,,
Khwanrudi Saengchan,Thailand,0,0,0,,,,
Taneekarn Dangda,Thailand,26,90,0,,,,
Pitsamai Sornsai,Thailand,0,90,90,,,,
Phonphirun Philawan,Thailand,0,0,0,,,,
Demi Stokes,England,0,0,90,0,90,90,0
Anouk Dekker,Netherlands,0,90,90,0,4,0,72
Mary Fowler,Australia,0,0,0,0,,,
Toni Duggan,England,0,0,82,90,53,0,0
